_id,l_ID,r_ID,l_title,r_title,_sim_score
0,b218205,a3,Somewhere,Somewhere,1.0
1,b34859,a3,Somewhere,Somewhere,1.0
2,b8755,a3,Somewhere,Somewhere,1.0
3,b217152,a3,Somewhere,Somewhere,1.0
4,b106679,a3,Somewhere,Somewhere,1.0
5,b314954,a3,Somewhere,Somewhere,1.0
6,b280712,a3,Somewhere,Somewhere,1.0
7,b287377,a3,Somewhere,Somewhere,1.0
8,b333772,a3,Somewhere,Somewhere,1.0
9,b178376,a3,Somewhere,Somewhere,1.0
10,b193773,a3,Somewhere,Somewhere,1.0
11,b44272,a3,Somewhere,Somewhere,1.0
12,b139511,a3,Somewhere,Somewhere,1.0
13,b55041,a3,Somewhere,Somewhere,1.0
14,b69907,a3,Somewhere,Somewhere,1.0
15,b227113,a3,Somewhere,Somewhere,1.0
16,b117048,a3,Somewhere,Somewhere,1.0
17,b327540,a3,Somewhere,Somewhere,1.0
18,b238972,a3,Somewhere,Somewhere,1.0
19,b195969,a3,Somewhere,Somewhere,1.0
20,b344301,a3,Somewhere,Somewhere,1.0
21,b79795,a3,Somewhere,Somewhere,1.0
22,b109516,a3,Somewhere,Somewhere,1.0
23,b236011,a3,Somewhere,Somewhere,1.0
24,b156658,a3,Somewhere,Somewhere,1.0
25,b146383,a9,Finally Home,Finally Home,1.0
26,b101521,a16,When You Love Someone,When You Love Someone,1.0
27,b68966,a16,When You Love Someone,When You Love Someone,1.0
28,b151594,a16,When You Love Someone,When You Love Someone,1.0
29,b62556,a16,When You Really Love Someone,When You Love Someone,0.7096774193548387
30,b116904,a32,Believe Me,Believe Me,1.0
31,b324861,a32,Believe Me,Believe Me,1.0
32,b40458,a32,Believe Me,Believe Me,1.0
33,b276024,a33,Child,Child,1.0
34,b347019,a33,Child,Child,1.0
35,b323821,a33,Child,Child,1.0
36,b203504,a33,Child,Child,1.0
37,b64761,a33,Child,Child,1.0
38,b48202,a34,Love Trap,Love Trap,1.0
39,b88681,a34,Love Trap,Love Trap,1.0
40,b157841,a34,Love Trap,Love Trap,1.0
41,b127821,a46,Cause = Time,Cause = Time,1.0
42,b184489,a63,Downtown Train,Downtown Train,1.0
43,b210234,a63,Downtown Train,Downtown Train,1.0
44,b307886,a66,Goin Out West,Goin' Out West,0.7222222222222222
45,b11269,a68,Hold On,Hold On,1.0
46,b245079,a68,Hold On,Hold On,1.0
47,b44888,a68,Hold On,Hold On,1.0
48,b27665,a68,Hold On,Hold On,1.0
49,b264224,a68,Hold On,Hold On,1.0
50,b163888,a68,Hold On,Hold On,1.0
51,b273127,a68,Hold On,Hold On,1.0
52,b282708,a68,Hold On,Hold On,1.0
53,b266333,a68,Hold On,Hold On,1.0
54,b140990,a68,Hold On,Hold On,1.0
55,b204928,a68,Hold On,Hold On,1.0
56,b153745,a68,Hold On,Hold On,1.0
57,b15509,a68,Hold On,Hold On,1.0
58,b178330,a68,Hold On,Hold On,1.0
59,b49325,a68,Hold On,Hold On,1.0
60,b100530,a68,Hold On,Hold On,1.0
61,b296309,a68,Hold On,Hold On,1.0
62,b237761,a68,Hold On,Hold On,1.0
63,b326256,a68,Hold On,Hold On,1.0
64,b142565,a68,Hold On,Hold On,1.0
65,b290033,a68,Hold On,Hold On,1.0
66,b305536,a68,Hold On,Hold On,1.0
67,b323845,a68,Hold On,Hold On,1.0
68,b82209,a68,Hold On,Hold On,1.0
69,b16674,a68,Hold On,Hold On,1.0
