SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
1,"b"Young Man's Blues: The Best Of The JSP Sessions 1989-90"","b'Lurrie Bell'",0.0,333.13914,2,112.226,3,"b'Going Back To Louisiana'",0
2,"b'Nunca El Tiempo Es Perdido'","b'Manolo Garcia'",0.0,266.31791,8,129.95,4,"b'Nunca El Tiempo Es Perdido'",2002
3,"b'The Road'","b'Michael Johnathon'",0.0,308.61016,7,125.906,4,"b'Ballad of John Galt'",0
4,"b'Espana'","b'101 Strings'",0.0,314.40934,2,111.433,3,"b'Cantina Toreros'",0
5,"b'Figga Nigga'","b'Safi Connection'",0.0,430.21016,11,146.981,4,"b'Experimental Dose'",2004
6,"b'Everclear'","b'American Music Club'",0.0,163.97016,9,104.428,4,"b'The Dead Part Of You'",1991
7,"b'Fixation Orale'","b'Les Sans Culottes'",0.0,151.40526,1,172.542,1,"b'Poupee de Circe (Wax Doll)'",0
8,"b'Situations'","b'Tina Ann'",0.0,251.76771,9,127.926,4,"b'Rules of Attraction (Chris Cox)'",2003
9,"b'No Solo De Rumba Vive El Hombre'","b'Albert Pla'",0.0,196.98893,5,121.615,5,"b'Nuestro Jardin'",0
10,"b'Chet Atkins_ C.G.P.'","b'Chet Atkins'",0.0,319.4771,4,96.031,4,"b'Knucklebuster'",0
11,"b'Island Diamonds'","b'Pocahaunted'",0.0,538.48771,1,77.239,1,"b'Ghetto Ballet'",2008
12,"b'Equil\xc3\xadbrio Distante'","b'Renato Russo'",0.0,286.30159,0,127.661,7,"b'Passera'",2002
13,"b'Dash Rip Rock Live at Schubas 08/13/2005'","b'Dash Rip Rock'",0.0,208.79628,7,136.995,3,"b'POT 2005'",0
14,"b'Saturation'","b'Urge Overkill'",0.0,243.17342,4,152.468,5,"b'Crackbabies'",1993
15,"b'Caribbean Hott Party Vol. 2'","b'Kevin Lyttle'",0.0,189.23057,10,93.346,4,"b'Into You'",0
16,"b'The Antidote'","b'Ronny Jordan'",0.0,290.84689,6,109.416,4,"b'Nite Spice'",1992
17,"b'Das Herz ist ein Sammler'","b'Fertig_ Los!'",0.0,250.56608,4,97.091,4,"b'Ich kann dich h\xc3\xb6ren'",2006
18,"b'Little Darla has a Treat for You_ v.27: Eternal Spring Edition'","b'Manual'",0.0,391.88853,4,111.997,4,"b'Miraparque'",2008
19,"b"She's Like A Star"","b'Taio Cruz / Sugababes / Busta Rhymes'",0.0,220.47302,7,150.856,5,"b"She's Like A Star"",2008
20,"b'Tropicalia'","b'Blue Six'",0.0,377.20771,1,120.0,4,"b'Tropicalia (Blue Six Original)'",0
21,"b'Go On'","b'JK'",0.0,343.562,0,131.991,4,"b'Go On'",0
22,"b'Herencia de flamenco y jazz'","b'Tuti Fernandez'",0.0,267.44118,7,176.51,4,"b'La herencia'",0
23,"b'The Great Unifier'","b'Her Whisper'",0.0,331.88526,0,100.068,4,"b'Fiend Angelical'",0
24,"b'The L Word - The Second Season Sessions'","b'Ezgirl'",0.0,51.51302,0,154.95,1,"b'204 Jenny Writing III (Shooting Gallery)'",2005
25,"b"Elmer Gantry's Velvet Opera"","b"Elmer Gantry's Velvet Opera"",0.0,129.98485,1,95.391,1,"b"What's the Point of Leaving"",1968
26,"b'Staggered Crossing'","b'Staggered Crossing'",0.0,269.87057,7,135.485,4,"b'A Million Works Of Art'",2001
27,"b'Winks & Kisses: Crackled'","b'Airiel'",0.0,497.55383,5,162.886,4,"b'Where It Belongs'",2004
28,"b'UFO'","b'Need New Body'",0.0,137.01179,8,124.66,4,"b'Pen'",2003
29,"b'Purple Haze'","b"Cam'Ron"",0.0,85.96853,6,110.064,4,"b"I'm A Chicken Head (Skit)"",2004
30,"b'Electro House Anthems Vol.1'","b'Delicious feat. Tiger Lily'",0.0,206.10567,10,85.327,3,"b'Yours'",0
31,"b'To See You'","b'Harry Connick_ Jr.'",0.0,364.64281,0,60.882,1,"b'Once'",0
32,"b'The Four Scissors'","b'Transcending Bizarre?'",0.0,180.76689,10,120.031,4,"b'Satellite Souls - Intro'",2003
33,"b'Footsteps In The Light'","b'Yusuf Islam'",0.0,284.02893,3,79.904,5,"b'A is for Allah'",2001
