SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
1,"b'Saturday Nite Live'","b'Greasy Gravy'",0.0,289.95873,0,150.491,3,"b'On A Saturday Night'",0
2,"b'Adelitas Way'","b'Adelitas Way'",0.0,213.9424,1,99.944,4,"b'Scream'",2009
3,"b'Cognicide'","b'Western Addiction'",0.0,118.07302,7,125.475,4,"b'A Poor Recipe For Civic Cohesion'",2005
4,"b'Fear Itself'","b'Casual'",0.0,218.93179,1,92.198,4,"b"I Didn't Mean To"",0
5,"b'Forever'","b'Alquimia'",0.0,193.01832,2,41.279,4,"b'The Lark In The Clear Air'",0
6,"b'Dimensions'","b'The Box Tops'",0.0,148.03546,6,121.274,4,"b'Soul Deep'",1969
7,"b'A Bad Azz Mix Tape IV'","b'Quest_ Pup_ Kevo'",0.0,252.94322,6,161.99,4,"b'Hit Da Scene'",0
8,"b'Surrender!'","b'Super Deluxe'",0.0,222.35383,5,100.812,4,"b'Come On (Album Version)'",0
9,"b'Be a Brother'","b'Big Brother & The Holding Company'",0.0,396.35546,7,136.768,1,"b'Heartache People'",1970
10,"b'In Memoriam'","b'Stanley Black'",0.0,160.73098,2,97.623,3,"b'Andalucia'",2003
11,"b'Las Numero 1 De La Sonora Santanera'","b'Sonora Santanera'",0.0,177.47546,8,100.07,1,"b'Amor De Cabaret'",0
12,"b'Vile Pervert - The Music'","b'Jonathan King'",0.0,129.85424,5,156.677,4,"b"I'll Slap Your Face (Entertainment USA Theme)"",2001
13,"b'Twentysomething'","b'Jamie Cullum'",0.0,246.9873,9,152.156,4,"b"It's About Time"",0
14,"b'Friend Or Foe'","b'Adam Ant'",0.0,233.40363,0,119.293,4,"b'Something Girls'",1982
15,"b'Colours'","b'Son Kite'",0.0,580.54485,11,91.947,3,"b'Game & Watch'",2004
16,"b'Inside / Absent'","b'Broken Spindles'",0.0,177.99791,10,106.68,1,"b'Burn My Body (Album Version)'",0
17,"b'Muertos Vivos'","b'Gob'",0.0,209.60608,2,129.738,4,"b'Face the Ashes'",2007
18,"b'Die Stadt'","b'Minni the Moocher'",0.0,176.37832,9,116.77,4,"b'Rosi_ das M\xc3\xa4dchen aus dem Chat'",0
19,"b'Jamboree'","b'F.L.Y. (Fast Life Yungstaz)'",0.0,246.54322,3,141.968,4,"b'Bands'",0
20,"b'\xc3\x96rd\xc3\xb6gi Angyal'","b'Magdi R\xc3\xbazsa'",0.0,179.01669,7,119.027,4,"b'Szembej\xc3\xb6vo s\xc3\xa1v (Oncoming Traffic)'",0
21,"b'F\xc3\xb8rr Ei Dame'","b'Halvdan Sivertsen'",0.0,183.35302,5,96.282,4,"b'Sm\xc3\xa5 Ord'",2005
22,"b'Bring Ya To The Brink'","b'Cyndi Lauper'",0.0,240.63955,9,123.989,4,"b'Into The Nightlife'",2008
23,"b'Late Nite'","b'Neal Schon'",0.0,304.56118,9,149.642,4,"b"I'll Be Waiting"",1989
24,"b'Nice And Nasty'","b'Silk'",0.0,234.94485,9,127.504,4,"b'Kakaiba'",0
25,"b'How It Ends'","b'Devotchka'",0.0,337.81506,0,109.296,3,"b'The Last Beat Of My Heart (b-side)'",2004
26,"b'No Holds Barred'","b'Biohazard'",0.0,120.39791,2,201.568,1,"b'What Makes Us Tick (Live) (Album Version)'",0
27,"b'The Best Of Snoop Dogg'","b'Snoop Dogg'",0.0,230.42567,8,96.897,4,"b'The One And Only (Edited)'",0
28,"b'The Mushroom Tapes'","b'The Badloves'",0.0,324.93669,11,89.813,4,"b'Slave'",1996
29,"b'Paris'","b'Paris Hilton'",0.0,192.28689,6,112.031,4,"b'I Want You (Album Version)'",2006
30,"b'Malvina Reynolds'","b'Malvina Reynolds'",0.0,215.82322,7,80.478,4,"b'Tungsten (only issued previously on 45)'",0
31,"b'Bang!... The Greatest Hits Of Frankie Goes To Hollywood'","b'Frankie Goes To Hollywood'",0.0,821.05424,11,226.409,4,"b'Welcome to the Pleasuredome'",1985
32,"b'Tony Bennett - 16 Golden Greats'","b'Tony Bennett'",0.0,184.2673,6,111.922,1,"b'Stranger In Paradise'",1976
33,"b'Much Loved Music (Vols. 1 & 2)'","b'Halle/Hughes'",0.0,296.46322,7,165.398,4,"b'Valse Triste (Kuolema Op 44)'",0
34,"b'Mostrati'","b'EST'",0.0,246.02077,2,102.026,4,"b'Non Lo Saprai Mai'",0
35,"b'Ordinary Day'","b'Jeff And Sheri Easter'",0.0,267.7024,5,147.782,3,"b'The Moon And I (Ordinary Day Album Version)'",0
36,"b'Da Ghetto Psychic'","b'Rated R'",0.0,114.78159,1,111.787,1,"b'Keepin It Real (Skit)'",0
37,"b'The Vibe Electric'","b'Dataphiles'",0.0,374.62159,10,131.942,4,"b'Drillbit'",0
38,"b'Doll In The Box'","b'Cristina'",0.0,343.87546,0,142.31,4,"b'Is That All There Is?'",0
39,"b"Let's Make Up And Be Friendly"","b'The Bonzo Dog Band'",0.0,301.40036,2,109.678,1,"b'King Of Scurf (2007 Digital Remaster)'",1972
40,"b'Gin & Phonic'","b'Tweeterfriendly Music'",0.0,189.57016,4,101.43,3,"b'Drop of Rain'",0
41,"b'Live at the Tractor Tavern'","b'The Supersuckers'",0.0,160.20853,9,88.358,3,"b'Double Wide'",0
42,"b'Chaka Khan and Rufus (Best Of)'","b'Chaka Khan_ Rufus'",0.0,258.89914,1,110.325,4,"b'Take Time'",1978
43,"b'Pink World'","b'Planet P Project'",0.0,269.81832,4,86.643,4,"b'Pink World'",1984
44,"b'Anthology: From Jersey It Came'","b'The Smithereens'",0.0,192.522,1,123.756,4,"b'Drown In My Own Tears (24-Bit Digitally Remastered 04)'",0
45,"b'Survival Sickness'","b'International Noise Conspiracy'",0.0,195.39546,0,148.957,4,"b'Smash It Up'",2000
46,"b'Superinstrumental'","b'Clp'",0.0,266.39628,7,114.041,4,"b'Insatiable (Instrumental Version)'",0
47,"b'Tech-Trance Essentials Part 2'","b'Gleave'",0.0,477.3873,1,135.025,4,"b'Come With Me'",0
48,"b'Disposable Half-Truths'","b'Richard H Kirk'",0.0,490.39628,11,99.623,7,"b'Scatalist'",1980
49,"b'I Need You'","b'JennyAnyKind'",0.0,218.77506,5,146.765,1,"b'Young Boy Blues'",0
50,"b'Mutiny Sunshine'","b'Talkdemonic'",0.0,171.57179,4,127.503,1,"b'Indian Angel'",2004
51,"b'It Could Ruin Your Day'","b'Chokebore'",0.0,163.99628,7,179.677,4,"b'Popular Modern Themes'",1996
52,"b"I Don't Speak The Language"","b'Matthew Wilder'",0.0,184.47628,10,110.129,4,"b'Break My Stride'",1983
53,"b'Honey Bee'","b'Moose'",0.0,205.66159,2,202.363,3,"b'Stop Laughing'",0
54,"b'Stories Of A Stranger'","b'O.A.R.'",0.0,263.99302,5,85.008,4,"b'One Shot (Album Version)'",2005
55,"b'New Old Friends'","b'Dolour'",0.0,203.85914,6,85.131,4,"b'My Paranoid Mind'",2004
56,"b'Two Words'","b'Overwhelming Colorfast'",0.0,123.66322,0,131.064,7,"b'Bark'",1994
57,"b'The Way Home'","b'Wayne Watson'",0.0,245.21098,7,117.975,4,"b'The Urgency (LP Version)'",0
58,"b'Placer & Castigo'","b'Andy Andy'",0.0,226.35057,9,130.04,4,"b'La Culpa'",0
59,"b'Mindstrip'","b'Suicide Commando'",0.0,287.29424,11,89.901,4,"b'Blood In Face'",2000
60,"b'Living On The Other Side'","b'The Donkeys'",0.0,214.96118,10,167.49,7,"b'Excelsior Lady'",0
61,"b'Law Of retaliation'","b'Extreme Noise Terror'",0.0,119.30077,1,127.444,1,"b'Chasing shadows'",2008
62,"b'Jamaican Folk Songs'","b'Louise Bennett'",0.0,187.81995,7,154.9,4,"b"Hol' 'M Joe (Hol' Him Joe)"",0
63,"b'Jonestown'","b'Sofia Talvik'",0.0,249.41669,2,146.003,4,"b'Arms and Armour'",2008
64,"b'Bauhaus - 1979-1983 Volume One'","b'Bauhaus'",0.0,248.65914,0,142.187,4,"b'A God In An Alcove (Session Version)'",0
65,"b'Dust Will Settle'","b'The Sunny Cowgirls'",0.0,232.9073,9,157.875,4,"b'Pink Galahs'",2008
66,"b'These Times'","b'Mike Stern'",0.0,307.46077,8,101.376,3,"b'I Know You'",0
67,"b'N\xc3\xb3mada'","b'Alejandro Santiago'",0.0,234.63138,7,96.934,4,"b'Siempre Ana'",2002
68,"b'Haunted'","b'Poe'",0.0,290.16771,4,222.026,7,"b'Walk the Walk'",2000
69,"b'Gone To Stay'","b'Natalia'",0.0,220.60363,0,104.854,4,"b'Gone To Stay'",0
70,"b'The Dream Mixes'","b'Tangerine Dream'",0.0,492.30322,2,150.028,4,"b'Catwalk (Black Ink Mix)'",1995
71,"b'Arrivederci'","b'Bob Azzam'",0.0,191.84281,10,137.334,1,"b'Auguri Cha Cha'",0
72,"b'Beach House'","b'Beach House'",0.0,270.00118,5,145.588,3,"b'Auburn and Ivory'",2006
73,"b'Dancing On The Ceiling'","b'Lionel Richie'",0.0,307.3824,3,125.197,3,"b'Tonight Will Be Alright'",1986
74,"b'Tanz! With Dave Tarras And The Musiker Brothers'","b'Dave Tarras;Sam Musiker'",0.0,393.92608,2,150.748,4,"b'Der Yemenite Tanz'",0
75,"b'Maxi Disco Vol 5'","b'Latin Lover'",0.0,401.10975,5,87.24,1,"b'Laser Light'",2000
76,"b"Don't You Rock Me Daddy-O"","b'The Vipers Skiffle Group'",0.0,124.9171,4,135.741,4,"b'Clementine'",0
77,"b'Outskirts'","b'Blue Rodeo'",0.0,491.12771,7,119.826,4,"b'Floating'",1987
78,"b'Cross Currents'","b'Richard Souther'",0.0,228.5971,8,127.756,5,"b'High Tide'",0
79,"b'Seven Seals'","b'Anthony B'",0.0,202.4224,2,97.966,4,"b'Our Father'",1999
80,"b'Schimmern'","b'Duesenjaeger'",0.0,120.99873,4,116.963,4,"b'Hoergeraete'",2006
81,"b"Pablito's Way Maxi Single"","b'Motion Man Featuring KutMasta Kurt'",0.0,235.41506,1,100.276,4,"b'One Time For Your Mind (feat Gift Of Gab)'",0
82,"b'The House We Built'","b"Alisha's Attic"",0.0,198.55628,0,157.149,3,"b"Sex Is On Everyone's Tongue"",2001
