_id,l_ID,r_ID,l_title,l_artist,l_year,r_title,r_artist,r_year,_sim_score
0,b293895,a5,Believe,Trilok Gurtu,1995,Believe,Blue October,—,1.0
1,b38939,a5,Believe,Celtus,1999,Believe,Blue October,—,1.0
2,b145463,a5,Believe,Collective Sound Memers,0,Believe,Blue October,—,1.0
3,b221766,a5,Believe,NOSTRUM,0,Believe,Blue October,—,1.0
4,b172625,a5,Believe,Helena Noguerra / Federico Pellegrini,0,Believe,Blue October,—,1.0
5,b212052,a5,Believe,Ms. Nora/Stic Man,0,Believe,Blue October,—,1.0
6,b173148,a5,Believe,Law,0,Believe,Blue October,—,1.0
7,b248032,a5,Believe,Solution,0,Believe,Blue October,—,1.0
8,b56954,a5,Believe,Agnostic Front,1997,Believe,Blue October,—,1.0
9,b164476,a5,Believe,CONTROL DENIED,1999,Believe,Blue October,—,1.0
10,b248885,a5,Believe,Mind:State,2007,Believe,Blue October,—,1.0
11,b113284,a5,Believe,Core22,0,Believe,Blue October,—,1.0
12,b116872,a5,Believe,The Smashing Pumpkins,1995,Believe,Blue October,—,1.0
13,b18573,a5,Believe,Ytheand,0,Believe,Blue October,—,1.0
14,b128668,a5,Believe,Movies With Heroes,0,Believe,Blue October,—,1.0
15,b234099,a5,Believe,The Muckrakers,0,Believe,Blue October,—,1.0
16,b173232,a5,Believe,Soldiers of Twilight,2002,Believe,Blue October,—,1.0
17,b343753,a5,Believe,Saeed Younan,0,Believe,Blue October,—,1.0
18,b188810,a5,Believe,Brooks & Dunn,2005,Believe,Blue October,—,1.0
19,b340192,a5,Believe,Q-Tip / DAngelo,2008,Believe,Blue October,—,1.0
20,b326353,a5,Believe,Goldie,0,Believe,Blue October,—,1.0
21,b187622,a5,Believe,James Taylor Quartet,2001,Believe,Blue October,—,1.0
22,b91152,a5,Believe,JVC,0,Believe,Blue October,—,1.0
23,b49449,a5,Believe,The All-American Rejects,2008,Believe,Blue October,—,1.0
24,b18678,a5,Believe,On Trial,2006,Believe,Blue October,—,1.0
25,b121080,a5,Believe,Ks Choice,1998,Believe,Blue October,—,1.0
26,b166162,a5,Believe,Sun Yan-Zi,0,Believe,Blue October,—,1.0
27,b99013,a5,Believe,Famous L. Renfroe,2008,Believe,Blue October,—,1.0
28,b102190,a5,Believe,Bernard Fanning,2005,Believe,Blue October,—,1.0
29,b289084,a5,Believe,Tim Ripper Owens,2009,Believe,Blue October,—,1.0
30,b294728,a5,Believe,Trick & Kuic,2007,Believe,Blue October,—,1.0
31,b330062,a5,Believe,Backyard Tire Fire,2005,Believe,Blue October,—,1.0
32,b233302,a5,Believe,Ikarus,0,Believe,Blue October,—,1.0
33,b304998,a5,Believe,Suffering And The Hideous Thieves,2005,Believe,Blue October,—,1.0
34,b213789,a5,Believe,Raheem Devaughn,2005,Believe,Blue October,—,1.0
35,b81256,a5,Believe,Inland Knights,0,Believe,Blue October,—,1.0
36,b43382,a5,Believe,Danny Wright,0,Believe,Blue October,—,1.0
37,b152509,a5,Believe,Jon Secada,1999,Believe,Blue October,—,1.0
38,b187331,a5,Believe,Rufige Cru,1992,Believe,Blue October,—,1.0
39,b159212,a5,Believe,Harry Toddler,0,Believe,Blue October,—,1.0
40,b158193,a5,Believe,JVC,0,Believe,Blue October,—,1.0
41,b100589,a5,Believe,Lox,0,Believe,Blue October,—,1.0
42,b14328,a5,Believe,Saga,0,Believe,Blue October,—,1.0
43,b306173,a5,Believe,Majera,0,Believe,Blue October,—,1.0
44,b177232,a6,Stranded,Rainow,1983,Stranded,Blue October,—,1.0
45,b145568,a6,Stranded,No Fun At All,1995,Stranded,Blue October,—,1.0
46,b198890,a6,Stranded,Mike Shupp,0,Stranded,Blue October,—,1.0
47,b104512,a6,Stranded,Rainow,1983,Stranded,Blue October,—,1.0
48,b100614,a6,Stranded,Mr. Lil One,2002,Stranded,Blue October,—,1.0
49,b116904,a8,Believe Me,Ridin Thum,0,Believe Me,Chelsea Watts-Sam Watts,2014,1.0
50,b324861,a8,Believe Me,The Richie Furay Band,0,Believe Me,Chelsea Watts-Sam Watts,2014,1.0
51,b40458,a8,Believe Me,Blu Mar Ten,2009,Believe Me,Chelsea Watts-Sam Watts,2014,1.0
52,b276024,a9,Child,I Witness,0,Child,Chelsea Watts-Sam Watts,2014,1.0
53,b347019,a9,Child,Mental Overdrive,0,Child,Chelsea Watts-Sam Watts,2014,1.0
54,b323821,a9,Child,Free,0,Child,Chelsea Watts-Sam Watts,2014,1.0
55,b203504,a9,Child,Free,0,Child,Chelsea Watts-Sam Watts,2014,1.0
56,b64761,a9,Child,Marla Glen,0,Child,Chelsea Watts-Sam Watts,2014,1.0
57,b116491,a11,My Sweet Lord,Billy Vaughn And His Orchestra,1980,My Sweet Lord,George Harrison,1970,1.0
58,b215667,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004,1.0
59,b332455,a13,Leave (Get Out),Kidz Bop Kids,2005,Leave (Get Out),JoJo,2004,1.0
60,b51397,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004,1.0
61,b156104,a17,Beautiful Girl,Springok Nude Girls,1997,Beautiful Girls,Sean Kingston,2007,0.7368421052631579
62,b252613,a17,Beautiful Girl,Marty Balin,0,Beautiful Girls,Sean Kingston,2007,0.7368421052631579
63,b174957,a17,Beautiful Girl,Trin-I-Tee 5:7,2008,Beautiful Girls,Sean Kingston,2007,0.7368421052631579
64,b69058,a17,Beautiful Girl,The Freelance Hellraiser,2006,Beautiful Girls,Sean Kingston,2007,0.7368421052631579
65,b58963,a17,Beautiful Girls,Sean Kingston,2007,Beautiful Girls,Sean Kingston,2007,1.0
66,b83727,a17,Beautiful Girls,DJ Nasty,0,Beautiful Girls,Sean Kingston,2007,1.0
67,b139167,a17,Beautiful Girl,Secret Dakota Ring,0,Beautiful Girls,Sean Kingston,2007,0.7368421052631579
68,b342496,a26,Lucy,Dietrich Schoenemann,0,Lucy,André Wall,2010,1.0
69,b220461,a26,Lucy,C\xc3\xa9saria Evora,1988,Lucy,André Wall,2010,1.0
70,b161456,a26,Lucy,The Cucumers,1999,Lucy,André Wall,2010,1.0
71,b238581,a26,Lucy,Two Tone Clu,2007,Lucy,André Wall,2010,1.0
72,b44767,a26,Lucy,Shocking Pinks,2005,Lucy,André Wall,2010,1.0
73,b227498,a40,Fun,Battalion Of Saints,0,Fun,Kristen Faulconer,2010,1.0
74,b127030,a41,Dollhouse,Resistance,0,Dollhouse,Kristen Faulconer,2010,1.0
75,b222441,a41,Dollhouse,Switchlade Symphony,1995,Dollhouse,Kristen Faulconer,2010,1.0
76,b127291,a41,Dollhouse,Priscilla Renea,2009,Dollhouse,Kristen Faulconer,2010,1.0
77,b119041,a42,Phoenix,Buckshot LeFonque,0,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
78,b225924,a42,Phoenix,B Real,2006,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
79,b93451,a42,Phoenix,Ralph Fritsch,0,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
80,b21796,a42,Phoenix,Daniel Heatcliff,0,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
81,b12071,a42,Phoenix,Daniel Heatcliff,0,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
82,b270515,a42,Phoenix,Vanden Plas,2002,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
83,b317103,a42,Phoenix,Wishone Ash,1970,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
84,b185265,a42,Phoenix,Ralph Fritsch,0,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
85,b255671,a42,Phoenix,Decoded Feedack,1999,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
86,b301371,a42,Phoenix,Jeyz & Freeman,0,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
87,b222798,a42,Phoenix,Adam Ant,0,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
88,b137827,a42,Phoenix,Aquarian Dream,1976,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
89,b97911,a42,Phoenix,Wishone Ash,1970,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
90,b174073,a42,Phoenix,Synsun,2006,Phoenix,Kristen Faulconer-Chet McCracken,2011,1.0
91,b122916,a43,Take Me Away,Michal Ho,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
92,b266966,a43,Take Me Away,Agent X Feat. Nate James,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
93,b226296,a43,Take Me Away,Michal Ho,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
94,b269692,a43,Take Me Away,Lucina,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
95,b78135,a43,Take Me Away,D:Ream,1993,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
96,b278849,a43,Take Me Away,Samajona,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
97,b244061,a43,Take Me Away,Mr. John,1998,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
98,b104707,a43,Take Me Away,Malachi,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
99,b96647,a43,Take Me Away,DRT,2009,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
100,b128835,a43,Take Me Away,Laga Savea,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
101,b72129,a43,Take Me Away,The Suways,2005,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
102,b72190,a43,Take Me Away,4 Strings,2002,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
103,b248650,a43,Take Me Away,Michal Ho,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
104,b190959,a43,Take Me Away,The Artreaker,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
105,b230557,a43,Take Me Away,The Worldonfire,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
106,b211950,a43,Take Me Away,THE THREE DEGREES,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
107,b89944,a43,Take Me Away,Seether,2004,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
108,b248869,a43,Take Me Away,Orlando Voorn,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
109,b60583,a43,Take Me Away,FM Attack,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
110,b224519,a43,Take Me Away,The Frequency,2004,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
111,b335100,a43,Take Me Away,Melody Clu,2004,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
112,b130617,a43,Take Me Away,Joe and Will Ask?,2009,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
113,b122673,a43,Take Me Away,DJ Backslash & D-Gor,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
114,b120703,a43,Take Me Away,Michal Ho,0,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012,1.0
115,b48202,a49,Love Trap,Susheela Raman,2003,Love Trap,Chelsea Watts,2015,1.0
116,b88681,a49,Love Trap,Sam Paglia,0,Love Trap,Chelsea Watts,2015,1.0
117,b157841,a49,Love Trap,Mel Waiters,0,Love Trap,Chelsea Watts,2015,1.0
118,b60953,a50,Someday,Camille Jones,2008,Someday,FiveAm-Chelsea Watts,—,1.0
119,b137245,a50,Someday,Miguel Reyes,0,Someday,FiveAm-Chelsea Watts,—,1.0
120,b277039,a50,Someday,Buffy,0,Someday,FiveAm-Chelsea Watts,—,1.0
121,b335920,a50,Someday,Mariah Carey,1990,Someday,FiveAm-Chelsea Watts,—,1.0
