SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
1,"b'Call of the Mastodon'","b'Mastodon'",0.0,280.21506,5,173.205,5,"b'Deep Sea Creature'",2001
2,"b'Fear Itself'","b'Casual'",0.0,218.93179,1,92.198,4,"b"I Didn't Mean To"",0
3,"b'Dimensions'","b'The Box Tops'",0.0,148.03546,6,121.274,4,"b'Soul Deep'",1969
4,"b'Las Numero 1 De La Sonora Santanera'","b'Sonora Santanera'",0.0,177.47546,8,100.07,1,"b'Amor De Cabaret'",0
5,"b'Friend Or Foe'","b'Adam Ant'",0.0,233.40363,0,119.293,4,"b'Something Girls'",1982
6,"b'Muertos Vivos'","b'Gob'",0.0,209.60608,2,129.738,4,"b'Face the Ashes'",2007
7,"b'Ordinary Day'","b'Jeff And Sheri Easter'",0.0,267.7024,5,147.782,3,"b'The Moon And I (Ordinary Day Album Version)'",0
8,"b'Da Ghetto Psychic'","b'Rated R'",0.0,114.78159,1,111.787,1,"b'Keepin It Real (Skit)'",0
9,"b'Gin & Phonic'","b'Tweeterfriendly Music'",0.0,189.57016,4,101.43,3,"b'Drop of Rain'",0
10,"b'Pink World'","b'Planet P Project'",0.0,269.81832,4,86.643,4,"b'Pink World'",1984
11,"b'Superinstrumental'","b'Clp'",0.0,266.39628,7,114.041,4,"b'Insatiable (Instrumental Version)'",0
12,"b'I Need You'","b'JennyAnyKind'",0.0,218.77506,5,146.765,1,"b'Young Boy Blues'",0
13,"b'The Way Home'","b'Wayne Watson'",0.0,245.21098,7,117.975,4,"b'The Urgency (LP Version)'",0
14,"b'Placer & Castigo'","b'Andy Andy'",0.0,226.35057,9,130.04,4,"b'La Culpa'",0
15,"b'Arrivederci'","b'Bob Azzam'",0.0,191.84281,10,137.334,1,"b'Auguri Cha Cha'",0
16,"b'Dancing On The Ceiling'","b'Lionel Richie'",0.0,307.3824,3,125.197,3,"b'Tonight Will Be Alright'",1986
17,"b'Outskirts'","b'Blue Rodeo'",0.0,491.12771,7,119.826,4,"b'Floating'",1987
18,"b'Cross Currents'","b'Richard Souther'",0.0,228.5971,8,127.756,5,"b'High Tide'",0
19,"b'Panjtan Ka Ghulam'","b'Faiz Ali Faiz'",0.0,599.24853,6,99.273,4,"b'Sohna Nee Sohna Data'",0
20,"b'Gold'","b'Tesla'",0.0,290.29832,7,150.062,4,"b'Caught In A Dream'",2004
21,"b'Whatever Happened To Boredom?'","b'lextrical'",0.0,165.69424,7,138.331,4,"b'Synthetic Dream'",0
22,"b'1942-1952 Jimmy Wakely'","b'Jimmy Wakely'",0.0,151.84934,1,86.186,3,"b'Broken-Down Merry-Go-Round'",0
23,"b'All The Good Times'","b'Alice Stuart'",0.0,220.78649,11,110.382,1,"b'Kassie Jones'",0
