atable_id,btable_id,sim_title,sim_artist,dif_year,match
10042,530662,1.000,1.000,0.0,1
19494,337425,1.000,0.606,0.0,1
14315,590494,0.750,1.000,0.0,1
8262,478767,1.000,0.654,-1,1
20761,791776,1.000,0.176,-1,0
18428,99503,1.000,0.042,-1,0
24409,102786,1.000,0.053,-1,0
19267,716663,1.000,0.037,21.0,0
28919,691548,0.714,1.000,67.0,1
28398,707441,0.708,0.037,5.0,0
28061,314346,1.000,0.042,21.0,0
7677,300757,1.000,0.200,7.0,0
14161,143522,1.000,1.000,2.0,1
23940,789680,1.000,1.000,-1,1
13961,271779,1.000,1.000,2.0,1
3527,580800,1.000,0.030,-1,0
21244,352936,1.000,1.000,0.0,1
31248,433821,1.000,0.083,2.0,0
3769,765166,1.000,1.000,0.0,1
2032,471599,1.000,1.000,0.0,1
18166,100311,1.000,0.071,-1,0
14173,202379,1.000,0.028,10.0,0
13230,181936,1.000,0.273,-1,1
20179,194070,0.739,1.000,0.0,1
18166,596405,1.000,0.348,-1,0
18024,153818,1.000,1.000,1.0,1
10411,250746,1.000,1.000,0.0,1
19494,742805,1.000,0.606,0.0,1
1622,798219,1.000,0.148,17.0,0
5338,327603,1.000,0.029,-1,0
7663,583683,1.000,0.167,8.0,0
13628,29603,1.000,0.048,-1,0
29166,71126,1.000,0.091,-1,0
26749,458276,1.000,0.375,0.0,1
11839,283393,1.000,1.000,0.0,1
10261,531072,1.000,1.000,1.0,1
774,338785,1.000,0.040,-1,0
9823,74141,0.750,0.026,28.0,0
12166,350165,1.000,0.676,1.0,1
16633,716653,1.000,1.000,0.0,1
5889,81850,1.000,0.053,-1,0
21124,455913,1.000,0.036,-1,0
14105,120763,1.000,0.034,14.0,0
29191,774228,1.000,0.087,-1,0
2282,608488,1.000,0.147,29.0,0
30309,557847,1.000,0.700,0.0,1
7277,794734,1.000,1.000,0.0,1
14414,178267,1.000,1.000,2.0,1
21239,302424,0.714,0.024,20.0,0
17775,228129,1.000,0.050,6.0,0
18472,303021,1.000,1.000,-1,1
21311,460334,0.750,1.000,1.0,1
5754,569772,1.000,0.042,7.0,0
13360,614420,1.000,0.154,1.0,0
6845,594037,1.000,0.053,7.0,0
20542,248504,1.000,0.077,6.0,0
3227,272796,1.000,1.000,0.0,1
2634,256118,0.735,1.000,-1,1
10432,277278,0.714,0.194,-1,0
21901,763591,1.000,0.025,-1,0
14549,504467,1.000,0.571,0.0,1
19733,444294,1.000,0.143,-1,0
9018,508843,1.000,0.194,3.0,0
22724,558359,1.000,1.000,0.0,1
14750,82399,1.000,0.033,-1,0
24164,92370,1.000,0.037,3.0,0
4792,803353,1.000,0.030,9.0,0
