atable_id,btable_id,sim_title,sim_artist,dif_year,match
16054,752532,1.0000,0.0286,-1,0
7514,355471,1.0000,1.0000,-1,1
8419,339695,0.5000,0.0385,2.0,0
18399,635919,0.5000,0.1364,5.0,0
1947,764102,1.0000,0.0256,-1,0
21080,487145,0.5938,0.2727,-1,1
7709,673468,0.5000,0.0345,-1,0
18073,692849,0.5385,0.0417,-1,0
2282,416105,0.5714,0.0714,-1,0
14739,544826,1.0000,1.0000,0.0,1
16828,584183,1.0000,1.0000,-1,1
3535,662992,0.5000,1.0000,7.0,1
23405,650686,0.5789,0.0526,-1,0
15108,533423,0.4545,0.0455,-1,0
9950,416701,0.5000,0.0357,-1,0
10708,191186,1.0000,0.4839,4.0,1
23091,686653,1.0000,0.0333,-1,0
6547,489738,0.5000,0.0455,17.0,0
22687,177260,1.0000,0.0732,12.0,0
27484,464472,1.0000,0.0500,0.0,1
22858,715424,1.0000,1.0000,0.0,1
22033,276090,0.5333,0.0980,32.0,0
21659,457676,1.0000,0.0526,10.0,0
777,375697,0.5000,0.0417,-1,0
3719,554813,0.5000,0.0455,-1,0
1644,582537,0.5217,0.0400,-1,0
22687,57024,1.0000,0.0811,-1,0
15279,140743,1.0000,0.0323,15.0,0
17035,658232,1.0000,1.0000,0.0,1
23445,231193,1.0000,0.1905,9.0,0
7450,245320,0.5455,0.0333,24.0,0
28158,138662,0.5000,0.0244,-1,0
26950,637986,0.5385,0.0488,-1,0
21214,643443,0.5000,0.1379,5.0,0
14860,99594,1.0000,0.0222,-1,0
21940,722711,0.7250,1.0000,0.0,1
13563,491391,1.0000,1.0000,0.0,1
5060,27080,0.5000,0.0323,-1,0
29248,82731,1.0000,0.2222,-1,1
27833,137947,1.0000,0.5789,0.0,1
10239,7154,0.6471,0.0385,-1,0
13961,362102,0.6923,0.0526,-1,0
19078,617735,1.0000,0.5000,1.0,1
21248,97674,0.5909,0.1364,12.0,0
14150,796074,0.6842,0.0625,-1,0
15018,520876,0.5636,0.7500,1.0,1
4997,551860,1.0000,0.2353,1.0,1
13396,518575,1.0000,1.0000,1.0,1
28359,533608,0.5000,0.0323,16.0,0
10729,153871,0.6364,0.1379,42.0,0
27309,19587,0.5000,0.0270,1.0,0
712,211941,0.5263,0.0667,3.0,0
25418,109247,1.0000,0.0667,-1,0
22286,205463,0.7059,0.0769,2.0,0
9304,279193,1.0000,0.1429,-1,0
