,title,artist,genre,duration,tempo,timesignature,keysignature,year
0,Leave (Get Out),JoJo,pop,230.55628,122.647,5,9,2004
1,Baby It's You,JoJo,pop,204.95628,90.025,4,1,2004
2,Beautiful Girls,Sean Kingston,pop,241.03137999999998,86.75200000000001,3,4,2007
3,What Is Life,George Harrison,pop,264.33261,131.737,4,4,1970
4,Too Little Too Late,JoJo,pop,462.96770999999995,126.971,4,6,2006
5,Anything,JoJo,pop,229.98158999999998,93.444,4,9,2006
6,Me Love,Sean Kingston,pop,226.7424,89.98200000000001,4,10,2007
7,Fire Burning,Sean Kingston,pop,260.57097999999996,149.97299999999998,3,1,2009
8,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,pop,241.05751,133.056,4,2,2009
9,The Wind Cries Mary,The Jimi Hendrix Experience,rock,200.72444,157.231,4,5,1967
10,Chime,Orbital,electronic,762.38322,60.373000000000005,1,10,1989
11,Your Body Is a Wonderland,John Mayer,rock,260.54485,105.633,4,5,2001
12,Sugar Free Jazz,Soul Coughing,rock,234.08281000000002,67.661,7,9,1995
13,It's Your Thing,The Isley Brothers,rock,166.47791,184.15099999999998,1,10,1969
14,Are We Here?,Orbital,electronic,933.6419999999999,95.315,1,0,1994
15,No Such Thing,John Mayer,rock,286.27546,135.76,4,9,2002
16,Your Body Is A Wonderland,John Mayer,rock,364.69506,95.035,4,10,2002
17,Why Georgia,John Mayer,rock,268.9824,96.86,4,2,2003
18,Bigger Than My Body,John Mayer,rock,377.52117999999996,118.204,4,9,2003
19,Daughters,John Mayer,rock,497.6322,121.25299999999999,3,9,2004
20,Soundtrack To Mary,Soul Coughing,rock,186.5922,129.20600000000002,4,8,1996
21,Super Bon Bon,Soul Coughing,rock,211.04281,98.689,4,8,1996
22,Beat It,Fall Out Boy,rock,156.57751000000002,148.089,4,0,2008
23,Rise & Shine,The Cardigans,rock,211.35627999999997,161.994,4,4,1994
24,Silver Rocket,Sonic Youth,rock,259.00363,123.62,4,0,1988
