id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
0,b668803,a5,Believe,Brooks & Dunn,2005,Believe,Blue October,—
1,b810053,a5,Believe,Backyard Tire Fire,2005,Believe,Blue October,—
2,b222510,a5,Believe,Britt Nicole,2007,Believe,Blue October,—
3,b582185,a5,Believe,Bernard Fanning,2005,Believe,Blue October,—
4,b356522,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
5,b355910,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
6,b531393,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
7,b695659,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
8,b782014,a14,Baby It's You,JoJo / Lil' Bow Wow,2004,Baby It's You,JoJo,2004
9,b96156,a14,Baby It's You,JoJo,2004,Baby It's You,JoJo,2004
10,b619161,a17,Beautiful Girl,Secret Dakota Ring,0,Beautiful Girls,Sean Kingston,2007
11,b636097,a17,Beautiful Girl,Springbok Nude Girls,1997,Beautiful Girls,Sean Kingston,2007
12,b538959,a17,Beautiful Girls,Sean Kingston,2007,Beautiful Girls,Sean Kingston,2007
13,b35457,a43,Take Me Away,Kim Waters,2008,Take Me Away,Kristen Faulconer-Lorenzo Lellini,2012
14,b284701,a50,Someday,Five Way Friday,0,Someday,FiveAm-Chelsea Watts,—
15,b59002,a50,Someday,Future Of Forestry,2009,Someday,FiveAm-Chelsea Watts,—
16,b348823,a54,What Is Life,George Harrison,1970,What Is Life,George Harrison,1970
17,b761398,a60,Too Little_ Too Late,JoJo,0,Too Little Too Late,JoJo,2006
18,b564859,a60,A Little Too Late,Julian Marley / Stephen Marley,2009,Too Little Too Late,JoJo,2006
19,b466819,a60,Too Little_ Too Late,JoJo,2006,Too Little Too Late,JoJo,2006
20,b180254,a61,Anything,JoJo,2006,Anything,JoJo,2007
21,b47163,a61,Anything,JoJo,2006,Anything,JoJo,2007
22,b345592,a61,Anything,Joe Lynn Turner,0,Anything,JoJo,2007
23,b108292,a64,Disaster,Michael Nyman,0,Disaster,Mario Jefferson-JoJo,2013
24,b475988,a68,Big Girls Don't Cry (Personal),Fergie,0,Big Girls Don't Cry (Personal) [Remix],Fergie-Sean Kingston,2007
25,b550204,a68,Big Girls Don't Cry (Personal),Fergie,0,Big Girls Don't Cry (Personal) [Remix],Fergie-Sean Kingston,2007
