id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
0,b755800,a5,I Believe,Bosson,2001,Believe,Blue October,—
1,b281706,a5,Relieve,Braille,0,Believe,Blue October,—
2,b85840,a5,Believe In Love,BLM,0,Believe,Blue October,—
3,b448588,a5,I Believe,Blessid Union Of Souls,1995,Believe,Blue October,—
4,b810053,a5,Believe,Backyard Tire Fire,2005,Believe,Blue October,—
5,b680226,a5,I Believe,Bjorn Berge,1999,Believe,Blue October,—
6,b451100,a5,I Believe,Big Black,0,Believe,Blue October,—
7,b582185,a5,Believe,Bernard Fanning,2005,Believe,Blue October,—
8,b238167,a5,Believe In Me,Boyzone,1995,Believe,Blue October,—
9,b222510,a5,Believe,Britt Nicole,2007,Believe,Blue October,—
10,b370301,a5,Believe It,Brian Kennedy,0,Believe,Blue October,—
11,b763643,a5,I Believe,Bebe Winans,2002,Believe,Blue October,—
12,b305817,a5,Believer,Babak Shayan,0,Believe,Blue October,—
13,b520454,a5,Believe Me,Blu Mar Ten,2009,Believe,Blue October,—
14,b668658,a5,I Believe,Billy Childish & Holly Golightly,1999,Believe,Blue October,—
15,b668803,a5,Believe,Brooks & Dunn,2005,Believe,Blue October,—
16,b327284,a5,I Believe,Bon Jovi,1992,Believe,Blue October,—
17,b392960,a5,Believer,Blue Cheer,1971,Believe,Blue October,—
18,b625457,a8,Believe,Collective Sound Members,0,Believe Me,Chelsea Watts-Sam Watts,2014
19,b415646,a8,Believe,Chalee Tennison,2003,Believe Me,Chelsea Watts-Sam Watts,2014
20,b593279,a8,Believe,Core22,0,Believe Me,Chelsea Watts-Sam Watts,2014
21,b305067,a8,Believe In Me,Cheryl Lynn,1996,Believe Me,Chelsea Watts-Sam Watts,2014
22,b508935,a8,Believe,Celtus,1999,Believe Me,Chelsea Watts-Sam Watts,2014
23,b644469,a8,Believe,CONTROL DENIED,1999,Believe Me,Chelsea Watts-Sam Watts,2014
24,b285415,a8,Believe,Cutthroats 9,0,Believe Me,Chelsea Watts-Sam Watts,2014
25,b618779,a8,Believe In Me,Christie Hennessy,0,Believe Me,Chelsea Watts-Sam Watts,2014
26,b817123,a8,Believing Me,Crawfish,0,Believe Me,Chelsea Watts-Sam Watts,2014
27,b294294,a8,Believe,Clay Crosse,0,Believe Me,Chelsea Watts-Sam Watts,2014
28,b574851,a9,Childhood,Chuck Berry,1972,Child,Chelsea Watts-Sam Watts,2014
29,b564875,a11,My Sweet Lord (2000),George Harrison,2001,My Sweet Lord,George Harrison,1970
30,b531393,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
31,b695659,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
32,b356522,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
33,b355910,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
34,b782014,a14,Baby It's You,JoJo / Lil' Bow Wow,2004,Baby It's You,JoJo,2004
35,b96156,a14,Baby It's You,JoJo,2004,Baby It's You,JoJo,2004
