id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
4,b356522,a13,Leave (Get Out),JoJo,2004,Leave (Get Out),JoJo,2004
9,b96156,a14,Baby It's You,JoJo,2004,Baby It's You,JoJo,2004
12,b538959,a17,Beautiful Girls,Sean Kingston,2007,Beautiful Girls,Sean Kingston,2007
16,b348823,a54,What Is Life,George Harrison,1970,What Is Life,George Harrison,1970
17,b761398,a60,Too Little_ Too Late,JoJo,0,Too Little Too Late,JoJo,2006
20,b180254,a61,Anything,JoJo,2006,Anything,JoJo,2007
28,b599602,a69,Me Love,Sean Kingston,2007,Me Love,Sean Kingston,2007
31,b467344,a70,Fire Burning,Sean Kingston,2009,Fire Burning,Sean Kingston,2009
35,b803512,a71,Feel It,Three 6 Mafia vs. Ti\xc3\xabsto with Sean Kingston and Flo Rida,0,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
59,b527647,a161,The Wind Cries Mary,The Jimi Hendrix Experience,1967,The Wind Cries Mary,The Jimi Hendrix Experience,1967
87,b396576,a195,Chime,Orbital,1989,Chime,Orbital,1989
88,b190244,a197,Your Body Is a Wonderland,John Mayer Tribute,0,Your Body is a Wonderland,John Mayer,2001
89,b410063,a215,Sugar Free Jazz,Soul Coughing,0,Sugar Free Jazz,Soul Coughing,1995
109,b111457,a251,It's Your Thing,The Isley Brothers,1969,It's Your Thing,The Isley Brothers,1969
111,b479325,a271,Are We Here ?,Orbital,1994,Are We Here?,Orbital,1994
113,b749806,a275,No Such Thing,John Mayer,0,No Such Thing,John Mayer,2002
117,b20265,a276,Your Body Is A Wonderland,John Mayer,0,Your Body Is a Wonderland,John Mayer,2002
119,b123271,a277,Why Georgia,John Mayer,0,Why Georgia,John Mayer,2003
125,b339205,a278,Bigger Than My Body,John Mayer,0,Bigger Than My Body,John Mayer,2003
126,b733955,a279,Daughters,John Mayer,0,Daughters,John Mayer,2004
130,b167492,a314,Soundtrack To Mary,Soul Coughing,1996,Soundtrack to Mary,Soul Coughing,1996
131,b686752,a315,Super Bon Bon,Soul Coughing,1996,Super Bon Bon,Soul Coughing,1996
