ID,artist,title,genre
a3,Tom Waits,Somewhere,folk
a7,Calvin Crabtree-Jeromeo Melo,Wishing for Tomorrow,hip-hop
a8,Garth Brooks-Billy Dean-Faith Hill-Olivia Newton-John-Neal McCoy-Michael McDonald-Victoria Shaw-Bryan White,One Heart at a Time,country
a9,Bryan White,Finally Home,country
a14,Bebel Gilberto,Sem contenção: Remixes,jazz
a15,Arturo Sandoval,Colors of the Wind,jazz
a16,Anita Baker-James Ingram,When You Love Someone,jazz
a18,Veronica Lake-Crayon,Crayon / Veronica Lake,indie
a19,Crayon,The Snap-Tight Wars,indie
a20,Cornershop,NME Peel Sessions Singles Club,indie
a21,Constantines-Feist,Constantines Feist,indie
a31,Sam Watts-Chelsea Watts,Run Down the Streets,indie
a32,Chelsea Watts-Sam Watts,Believe Me,indie
a33,Chelsea Watts-Sam Watts,Child,indie
a34,Chelsea Watts,Love Trap,indie
a42,Calexico,Spark / The Ride,indie
a43,Built to Spill,Car / Girl,indie
a45,Broken Social Scene,Stars & Sons / KC Accidental,indie
a46,Broken Social Scene,Cause = Time,indie
a61,Bibio,Sheila Sets Sail,indie
a62,Bibio,Ambivalence Avenue / Fire Ant,indie
a63,Tom Waits,Downtown Train,folk
a64,Tom Waits,In the Neighborhood,folk
a65,Tom Waits,16 Shells From a Thirty-Ought-Six,folk
a66,Tom Waits,Goin' Out West,folk
a67,Tom Waits,Heartattack and Vine,folk
a68,Tom Waits,Hold On,folk
a69,Tom Waits,Bad As Me,folk
a71,Bebel Gilberto,Tanto tempo,jazz
a72,Bebel Gilberto,Aganjú,jazz
a73,Bebel Gilberto,All Around,jazz
a74,Anita Baker,Lately,jazz
a75,Cornershop,Wog,indie
a76,Cornershop,Good Ships / Funky Days Are Back Again,indie
a77,Cornershop,Brimful of Asha,indie
a78,Cornershop,Sleep on the Left Side,indie
a79,Cornershop,Candyman,indie
a80,Cornershop,Sleep on the Left Side / Brimful of Asha,indie
a81,Cornershop,Lessons Learned From Rocky I to Rocky III,indie
a82,FiveAm-Chelsea Watts,Someday,indie
a83,Duskid-Sam Watts-Chelsea Watts,Stuck With You,indie
a84,Duskid-Sam Watts-Chelsea Watts,Stuck With You (Artful Dice remix),indie
a85,Calexico,Service & Repair,indie
a86,Calexico,Ballad of Cable Hogue,indie
a87,Calexico,Crystal Frontier,indie
a88,Calexico,Alone Again Or,indie
a89,Calexico,Quattro (World Drifts In),indie
a90,Calexico,Black Heart,indie
a91,Calexico-Beirut,Guns of Brixton / Interior of a Dutch House,indie
a92,Built to Spill,Joyride / Sick and Wrong,indie
a93,Built to Spill,So and So So and So From Wherever Wherever / Terrible/Perfect,indie
a94,Built to Spill,Car,indie
a95,Built to Spill,Distopian Dream Girl,indie
a96,Built to Spill,In the Morning,indie
a97,Built to Spill-Marine Research,Built to Spill / Marine Research,indie
a98,Built to Spill,Center of the Universe,indie
a99,Broken Social Scene,Ibi Dreams of Pavement (A Better Day),indie
a100,Broken Social Scene,7/4 (Shoreline),indie
a101,Broken Social Scene,Fire Eye'd Boy / Canada vs. America,indie
a102,Broken Social Scene-Kevin Drew,Tbtf,indie
a103,Broken Social Scene-Kevin Drew,Backed Out On The...,indie
a127,Bibio,Excuses,indie
a128,Bibio-Clark,Willenhall / Baskerville Grinch,indie
a129,Bibio,K Is for Kelson,indie
a130,Bibio,T.O.Y.S.,indie
a131,Bibio,À tout à l'heure,indie
a132,Diana Ross,Ain't No Mountain High Enough,jazz
a133,Cornershop,Staging,indie
a134,Cornershop-Bubbley Kaur,Topknot / Natch,indie
a135,Cornershop,Wop the Groove,indie
a136,Built to Spill,They Got Away / Rearrange,indie
a137,Built to Spill,Water Sleepers / Linus and Lucy,indie
a138,Built to Spill,Ripple,indie
a139,Broken Social Scene,Forced To Love,indie
a159,Diana Ross-Marvin Gaye,You Are Everything,jazz
a160,Diana Ross-Michael Jackson,Ease on Down the Road,jazz
a161,Diana Ross,The Boss,jazz
a162,Diana Ross,Upside Down,jazz
a163,Diana Ross,I'm Coming Out,jazz
a164,Diana Ross,It's My Turn,jazz
a167,Gregory Porter,Real Good Hands,jazz
a168,Gregory Porter,Musical Genocide,jazz
a169,Disclosure-Gregory Porter,Holding On,jazz
a170,Break Science-Gramatik,Boogie Down,jazz
a171,Gramatik,Native Son,jazz
a172,Gitane DeMone,A Heavenly Melancholy,jazz
a175,George Winston,Christmas Time Is Here,jazz
a176,George Winston,Silent Night – A Benefit Single for Feeding America,jazz
a177,Gary Numan,Cars,jazz
a183,Hugh Masekela,You Keep Me Hangin' On / Make Me a Potion,jazz
a198,Bruce Hornsby,Gonna Be Some Changes Made,folk
a199,Bruce Hornsby,Talk of the Town,folk
a202,George Winston,Swinging Honeymoon,jazz
a203,Gary Numan,Complex,jazz
a204,Gary Numan,We Are Glass,jazz
a205,Gary Numan,I Die: You Die,jazz
