,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
4363,4363,b270671,a5589,All Day_ All Night,J-Diggs,0,All Night,Jack Beats,2011,0
19824,19824,b201733,a24020,You're Not All That,The Herbaliser,2008,You're Not Alone,Tinchy Stryder,2009,0
24753,24753,b801466,a30919,Far Away,Cut Copy,2008,Fade Away,Chumbawamba,2005,0
22850,22850,b602816,a27790,With You,Chris Brown,0,With You,Chris Brown,2008,1
6550,6550,b604558,a8280,Borderline,Madonna,1983,Borderline,Madonna,1984,1
5578,5578,b620861,a7387,Looking At You,Sunscreem,1996,Looking at You,Sunscreem,1996,1
10039,10039,b704463,a13922,You and Me,Sunrise,0,You and I,Scorpions,1996,0
1324,1324,b747852,a1799,Lullaby,The Cat Empire,2005,Lullaby,The Cure,1989,0
4939,4939,b404595,a6595,Shelter,Prisma,0,Shelter,Porter Robinson-Madeon,2016,0
4837,4837,b207397,a6366,My Hands Are Tied,Mesh,0,My Hands Are Tied / Petrified,Mesh,2006,1
18393,18393,b654808,a21978,Wonderwall,Oasis,0,Wonderwall,Oasis,1995,1
12636,12636,b803377,a16133,The Killing Moon,Echo And The Bunnymen,1984,The Killing Moon,Echo & The Bunnymen,1983,1
17912,17912,b675245,a21439,I Remember,Keyshia Cole,2007,I Remember,Kaskade-deadmau5,2008,0
9639,9639,b518575,a13395,Everyday,Phil Collins,1993,Everyday,Phil Collins,1994,1
10281,10281,b19552,a14114,Shape,Sugababes,2002,Shape,Sugababes,2003,1
9449,9449,b69173,a13126,Walk Right Back,Perry Como,1973,Walk Right Back,Perry Como,1973,1
22892,22892,b6516,a27821,Give It Up,Phil The Agony,0,Give It Up,Public Enemy,1994,0
23232,23232,b559914,a28216,The Game,Ativin,2004,The Game,Alyssa Reid-Snoop Dogg,2012,0
5619,5619,b214048,a7447,Where Did Our Love Go?,Soft Cell,1996,Tainted Love / Where Did Our Love Go?,Soft Cell,1981,1
6666,6666,b448256,a8419,Good Time,Peran,2001,Feel Good Time,P!nk-William Orbit,2003,0
14208,14208,b331796,a17948,This Life,Magna-Fi,2005,This Is My Life,Miss Montreal,2009,0
1423,1423,b766176,a1947,Yesterday,Andy Williams,0,Yesterday,Adam Levine-Tony Lucca,2012,0
24267,24267,b692368,a29714,Forever Yours,Ray Smith,0,Forever Young,Rhiannon Giddens-Iron & Wine,2015,0
14840,14840,b19730,a18601,The Day You Come,Powderfinger,1998,The Day You Come,Powderfinger,1998,1
8152,8152,b342736,a10581,Love Machine,Girls Aloud,0,Love Machine,Girls Aloud,2004,1
15482,15482,b491066,a19151,I Never Know,Singing Melody,0,You'll Never Know,Shirley Bassey,1961,0
16596,16596,b811138,a20298,Heartbeat,Adrian Belew,1990,My Heartbeat,Annie,2004,0
17057,17057,b375524,a20701,More Than Likely,P.M. Dawn,1993,More Than Likely,P.M. Dawn-Boy George,1993,1
3580,3580,b414176,a4682,Let Me Down Easy,Cornelius Brothers & Sister Rose,1972,Let Me Down Easy,Chris Isaak,2002,0
24714,24714,b342256,a30883,Believer,Clyde Carson,2009,Believe,Cher,1998,0
8062,8062,b155272,a10498,Lucid Dreams,Franz Ferdinand,2008,Lucid Dreams,Franz Ferdinand,2008,1
4758,4758,b70577,a6231,Trust In You,Masterplan,2007,Trust You,Mesh,1998,0
4809,4809,b261214,a6310,The City,Mic Geronimo,0,The City,Madeon,2012,0
6,6,b451100,a5,I Believe,Big Black,0,Believe,Blue October,—,0
856,856,b745375,a1376,Tired Of Being Alone,Texas,1992,Tired of Being Alone,Texas,1992,1
12435,12435,b339177,a15894,Flowers,Camper Van Beethoven,1989,Flower,Cody Simpson,2015,0
10287,10287,b109905,a14116,Too Lost In You,Sugababes,2000,Too Lost in You,Sugababes,2003,1
24539,24539,b436505,a30579,Everything,Tenishia,0,Everything Flows,Teenage Fanclub,1991,0
11430,11430,b3691,a14787,These Days,The Simpletons,0,These Days,Take That,2014,0
3722,3722,b494125,a4812,Alpha Centauri,Hallucinogen,1995,Alpha Centauri / LSD,Hallucinogen,1994,1
20838,20838,b440360,a25704,Everybody's Numb,Thea Gilmore,2006,Everybody's Fool,Teenage Fanclub,1990,0
1760,1760,b574219,a2372,Whatever You Want,Taylor Dayne,1998,Whatever You Want,Tina Turner,1996,0
22084,22084,b240243,a26939,Only One,T-Bone,0,The Only One,The Cure,2008,0
19644,19644,b314656,a23850,Neighborhood,Tift Merritt,2002,In the Neighborhood,Tom Waits,1985,0
21043,21043,b308654,a25907,The Body Wah,Tears For Fears,1992,The Body,The Pains of Being Pure at Heart,2011,0
20448,20448,b699473,a25183,Children Say,Level 42,1987,Children Say,Level 42,1987,1
25087,25087,b416529,a31626,You,Spanky Wilson,1992,You,Schiller-Colbie Caillat,2008,0
17352,17352,b2642,a21000,Vanish,Capoeira Twins,0,Vanished,Crystal Castles,2008,0
23147,23147,b536507,a28095,Everyday Is A Winding Road,Sheryl Crow / Ash Win Sood,1996,Everyday Is A Winding Road,Sheryl Crow,1996,1
5750,5750,b685753,a7549,Papua New Guinea,The Future Sound of London,1991,Papua New Guinea,The Future Sound of London,1991,1
