723,723,b303801,a1975,All the Time,The Fall-Outs,0,All the Time,The Strokes,2013,0
9601,9601,b207174,a21979,Don't Look Back In Anger,Oasis,0,Don't Look Back in Anger,Oasis,1995,1
6718,6718,b509692,a16470,Eleanor Put Your Boots On,Franz Ferdinand,2005,Eleanor Put Your Boots On,Franz Ferdinand,2006,1
2911,2911,b127263,a7511,No Angel,Sunscreem,1996,No Angel,Sunscreem,1999,1
3056,3056,b336262,a7805,Come With Me,Soesja Citroen,0,Come With Me,Steve Aoki-Polina,2013,0
3423,3423,b648758,a8538,Everytime,Lionel Richie,1998,Everytime,Loreen,2012,0
11459,11459,b821404,a26894,The Corner,Common / The Last Poets,2005,The Corner,Common,2005,1
493,493,b25980,a1530,Black Eyed Boy,Texas,1997,Black Eyed Boy,Texas,1997,1
6800,6800,b47885,a16580,I Wish You Were Here,Dave Dudley,2000,Wish You Were Here,Delta Goodrem,2012,0
1527,1527,b431977,a4017,Girl Talk,TLC,2002,Girl Talk,TLC,2002,1
1239,1239,b192720,a3547,Silent Night,The Harmonizing Four,0,Silent Night,The Flaming Lips,2008,0
6867,6867,b195502,a16806,You Give Me Something,James Morrison,0,You Give Me Something,James Morrison,2006,1
9524,9524,b578154,a21782,For You,Myslovitz,2003,For You,Manfred Mann‰Ûªs Earth Band,1981,0
3876,3876,b40642,a9831,Tonight,David Tao,0,Tonight,Def Leppard,1993,0
2100,2100,b544614,a5523,Stay,Johnny Logan,1996,Stay,Julio D,2015,0
6805,6805,b705543,a16589,Keeps Gettin' Better,Christina Aguilera,2008,Keeps Gettin' Better,Christina Aguilera,2008,1
168,168,b471100,a451,Illuminate,Orbital,2001,Illuminate,Orbital,2001,1
8295,8295,b471436,a19487,Bounce,Tarkan,2006,Bounce,Tarkan,2005,1
2007,2007,b269564,a5310,Warung Beach,John Digweed,0,Warung Beach,John Digweed,2006,1
1695,1695,b237596,a4627,Blow,Keoki,1997,Blow,Ke$ha,2010,0
6726,6726,b155118,a16472,Ulysses,Franz Ferdinand,2008,Ulysses,Franz Ferdinand,2009,1
5438,5438,b356138,a14175,Bounce,System of a Down,2001,Bounce,Sarah Connor,2003,0
2454,2454,b388845,a6586,Buddy X,Neneh Cherry,1992,Buddy X,Neneh Cherry,1993,1
1177,1177,b435128,a3428,Now,Poor Old Lu,2002,Now,Paramore,2013,0
6522,6522,b414770,a15983,Ain't Nobody,Daniel Bedingfield / Natasha Bedingfield,0,Ain't Nobody,Diana King,1995,0
1280,1280,b353530,a3614,Someday,Elton Britt,2008,Someday,E. T. I.,1993,0
12668,12668,b331658,a30347,Tear The Whole Thing Down,The Higsons,1982,Tear the Whole Thing Down,The Higsons,1982,1
11036,11036,b774951,a26033,Runaway,Artist Vs Poet,2008,Runaway,AURORA,2015,0
8389,8389,b109583,a19636,Wake Up,The Dangerous Summer,2007,Wake Me Up,Taylor Davis,2013,0
7223,7223,b167223,a17519,Shining Star,Invisible Man feat. Arizona Adams,0,Shining Star,INXS,1991,0
7971,7971,b365428,a18989,You,Sly & Robbie / Amp Fiddler,0,You,S Club 7,2002,0
7658,7658,b114175,a18358,Wounded,Nik Kershaw,2001,Wounded,Nik Kershaw,2001,1
10226,10226,b93386,a23743,Rockin' Around The Christmas Tree,Brenda Lee,1958,Rockin' Around the Christmas Tree,Brenda Lee,1958,1
4761,4761,b29808,a12524,Sugar,Marvin & Johnny,0,Sugar,Maroon 5,2015,0
1630,1630,b53541,a4395,The Train Is Coming,UB40,1998,The Train Is Coming,UB40,1998,1
13225,13225,b471618,a32547,We've Got Tonight,Kenny Rogers And Sheena Easton,1983,We've Got Tonight,Kenny Rogers-Sheena Easton,1983,1
10865,10865,b100618,a25589,Spaceman,The Killers,2008,Spaceman,The Killers,2008,1
62,62,b354749,a174,Shout,Tears For Fears,1984,Shout,The Isley Brothers,1959,0
12870,12870,b109284,a31167,Fantasy,Luni Coleone,0,Fantasy,Levellers,1995,0
8197,8197,b339992,a19304,If It Makes You Happy,Sheryl Crow,1996,If It Makes You Happy,Sheryl Crow,1996,1
8413,8413,b805723,a19733,Home,Seventh Key,0,Home,Sheryl Crow,‰ÛÓ,0
1613,1613,b456922,a4311,Love Is All Around,Wet Wet Wet,1994,Love Is All Around,Wet Wet Wet,1994,1
10728,10728,b280238,a25354,Silver Rocket,Sonic Youth,1988,Silver Rocket,Sonic Youth,1988,1
8486,8486,b453974,a19976,Keep Hope Alive,The Crystal Method,1995,Keep Hope Alive,The Crystal Method,1996,1
4083,4083,b575280,a10432,Promises,The Cranberries,1999,Promises,The Cranberries,1999,1
7666,7666,b517364,a18375,Honey,Mariah Carey Featuring Da Brat & JD,1997,Honey,Moby,1998,0
2893,2893,b16558,a7505,Action,Saint Etienne,2002,Action,Saint Etienne,2002,1
3396,3396,b445466,a8426,Angel,Mercromina,2005,Angel,Madonna,1985,0
9605,9605,b432770,a21989,The Hand That Feeds,Nine Inch Nails,2005,The Hand That Feeds,Nine Inch Nails,2005,1
4227,4227,b187527,a10744,Breathe,Eternal,1990,Breathe,Erasure,2005,0
