ID, Artist, Song, Genre, Tempo, Duration
1,Adelitas Way,Scream,hip-hop,99.944,213.9424
2,The Badloves,Slave,rock,89.813,324.93669
3,Gleave,Come With Me,hip-hop,135.025,477.3873
4,The Photos,Do You Wanna Dance,pop,108.652,139.49342
5,Bedlight For Blue Eyes,Without You,rock,182.917,165.38077
6,Motorass,Home,folk,120.849,433.24036
7,Alice Stuart,Kassie Jones,blues,110.382,220.78649
8,Smitty,Success,pop,82.561,248.0322
9,Old Man River,Summer,rock,118.43,165.40689
10,Hanna,The Race,electronic,120.056,359.18322
11,Gloria Gaynor,Perfect World,pop,85.326,304.37832
12,Antoine Clamaran,Get Down,electronic,128.004,441.88689
13,Scarlets Remains,Spin,rock,115.061,198.73914
14,Stevie Ray Vaughan,Crossfire,electronic,116.721,248.78975
15,In The Woods,Shelter,electronic,45.084,36.362
16,Wayne Wonder,All This Time,classical,181.556,227.70893
17,Imperanon,Sold,rock,210.102,221.98812
18,Grandmaster Flash,Gold,rock,105.442,260.91057
19,Rockin Reels,My Happiness,rock,101.25,110.23628
20,Juei ft. D-Bridge,Patience,pop,173.001,308.27057
21,Exec Bat,Restart,pop,124.012,514.06322
22,Max Cavalerra,Impact,electronic,125.988,434.78159
23,People In Planes,Barracuda,rock,206.273,231.02649
24,Lady Sovereign,Bang Bang,hip-hop,130.042,200.51546
25,Los Rieleros Del Norte,Usted,pop,78.122,185.86077
26,Thin Lizzy,The Rocker,rock,146.882,258.24608
27,Sounds Like Violence,The Greatest,pop,137.927,266.4224
28,Toy Lightman,One Day,pop,167.964,205.08689
29,DJ X-Change featuring DJ Joey A,Come Over,electronic,150.012,184.31955
30,Nate Dogg feat. Daz Dillinger,These Days,pop,160.234,303.35955
31,Mellow Mark,Movement,rock,99.983,220.31628
32,Miike Snow,Black & Blue,indie,127.963,378.30485
33,Mott The Hoople,American Pie,folk,77.003,86.54322
34,Cama,In This Life,electronic,155.074,210.36363
35,Lorena,Footloose,rock,90.017,211.93098
36,Foo Fighters,Hell,indie,152.127,117.002
37,The Wilde Flowers,Memories,electronic,88.644,95.18975
38,Heiko Voss,Telephone,electronic,85.3,161.98485
39,Pee Wee Ellis,Oh My God,hip-hop,102.992,304.90077
40,The Verve,Bitter Sweet Symphony,rock,85.46,360.25424
41,Suzanne Ciani,Mozart,electronic,139.189,192.20853
42,Jesse James,Change,alternative,125.046,235.83302
43,Dare,Runaway,folk,123.814,269.71383
44,Lisa Papineau,Diamonds and Pearls,rock,92.642,260.25751
45,Mathew Jonson,Stop,hip-hop,129.712,368.53506
46,2-4 Grooves feat. Reki D.,Relax,pop,126.941,203.83302
47,Dj Boss,Untitled,alternative,140.013,260.07465
48,Edvin Marton,Fireworks,indie,150.521,202.50077
49,Soular,Everything Changes,pop,146.577,244.45342
50,Lynch Mo,Rain,electronic,99.761,293.95546
51,Chris Brown,Forever,hip-hop,139.998,363.59791
52,Daniela Dess\xc3\xac,New Age,pop,140.334,330.65751
53,Shirley Horn,Do It Again,hip-hop,98.454,179.48689
54,Sheryl Crow,Wildflower,folk,81.674,236.30322
55,GP WU,Flawless,rock,101.605,288.28689
56,The Killers,Spaceman,alternative,151.953,284.3424
57,Kirk Whalum,You Are Everything,jazz,86.041,440.94649
58,Die Hunns,The Truth,hip-hop,187.41,133.38077
59,Gai,Rose, My Rocket-Brain!,122.97,144.14322
60,Oceanic,Insanity,electronic,130.011,415.05914
61,Gigolo Tony,Scream,hip-hop,134.201,205.87057
62,Orital,Illuminate,electronic,125.975,327.8624
63,Alert Cummings,Where Did I Go Wrong,pop,101.124,179.25179
64,Tantric,Walk Away,rock,106.698,177.24036
65,Atrium Carceri,Escape,pop,110.379,263.94077
66,Xcultures,Smile,jazz,107.177,38.3473
67,Placeo,English Summer Rain,rock,108.264,241.52771
68,Samantha Fox,The Power,electronic,90.696,231.8624
69,RUN-DMC,Hard Times,electronic,119.67,234.65751
70,Emotional Horizons feat. Stine Grove,Beautiful,hip-hop,137.906,411.37587
71,Lady May,The Boss,jazz,188.056,214.04689
72,Coleman Hawkins,Desafinado,pop,152.764,346.77506
73,Brick,Happy,electronic,104.248,263.6273
74,Kurt Nilsen,Come On,folk,99.094,238.62812
