ID, Artist, Song, Genre, Tempo, Duration
1,Splender,Wallflower,blues,90.808,239.35955
2,Duplex,In Between Days,alternative,141.239,180.50567
3,The Fixx,Red Skies,electronic,125.917,275.56526
4,Streetwize,Little Things,pop,185.93,292.64934
5,Marshall Jefferson vs. Jesse Saunders,Move Your Body,hip-hop,122.001,345.46893
6,Billie Holiday,Georgia On My Mind,rock,143.309,204.43383
7,Alvin Lee,Back in My Arms Again,pop,101.731,224.96608
8,Gwen McCrae_ Frank-O,Long Way Home,electronic,126.779,275.87873
9,isis,XTC,electronic,140.028,404.71465
10,Harry Nilsson,I Need You,rock,132.233,198.81751
11,New Order,Fine Time,alternative,83.534,285.28281
12,Unwritten Law,Superman,rock,201.269,216.81587
13,The Salsoul Orchestra,Getaway,rock,217.438,259.02975
14,Free,Woman,folk,129.042,273.52771
15,Annie Lennox,Little Bird,rock,125.03,385.01832
16,Goose,Bring It On,alternative,122.956,395.85914
17,Onaje Allan Gums,Your Love,hip-hop,114.37,353.09669
18,Manchester Orchestra,Shake It Out,rock,148.158,311.43138
19,Queens Clu,Sunshine,hip-hop,128.027,205.53098
20,Rockaye Bay!,Desire,electronic,100.043,312.78975
21,Westam,Untitled,alternative,123.402,315.95057
22,Kid Creole And The Coconuts,Girl,alternative,134.027,223.05914
23,Wyclef Jean,Guantanamera,hip-hop,87.965,208.29995
24,Hushaye Bay,These Days,pop,147.964,210.85995
25,Cserh\xc3\xa1ti Zsuzsa,New York, New York,120.458,220.49914
26,Fad Gadget,Collapsing New People,rock,115.644,247.7971
27,Ray Charles,Someday,indie,102.141,188.15955
28,DJ Nasty,Apologize,rock,86.664,231.13098
29,Matt Darey ft. Marcella Woods,Beautiful,hip-hop,137.005,475.37587
30,Dave Gahan,I Need You,rock,209.572,284.9171
31,Soundscape,Night Train,hip-hop,127.061,408.08444
32,McFly,Hypnotised,alternative,176.894,182.282
33,The Troggs,Wild Thing,rock,101.44,154.22649
34,Masters Apprentices,Michael,rock,179.724,232.98567
35,Hopesfall,Icarus,electronic,155.146,258.48118
36,Eony Ark,Enough Is Enough,folk,195.122,208.24771
37,Steel Pole Bath Tu,Quark,rock,177.695,194.92526
38,Menudo,Hold Me,blues,118.91,248.842
39,Maroon 5,She Will Be Loved,rock,102.143,261.61587
40,Peter Bjorn And John,Young Folks,indie,142.265,312.34567
41,Cold Sweat,Resurrection,alternative,152.075,422.32118
42,Fireflight,Stand Up,alternative,156.036,195.49995
43,Enchant,Pure,classical,99.035,438.83057
44,Beherit,Sense,electronic,111.125,625.57995
45,Reekah Higgs,Happy,electronic,119.023,169.11628
46,Phantom Band,Gravity,rock,124.732,329.40363
47,The Carla Bley Band,Murder,alternative,76.292,237.16526
48,Camouflage,Dreaming,alternative,84.019,341.52444
49,The Partridge Family,Sunshine,hip-hop,121.81,164.96281
50,Just Luis,You Need Me, I Don't Need You,130.016,322.84689
51,The Morning Benders,Excuses,indie,192.489,317.41342
52,Chamers Brothers,Get On Up,electronic,87.765,138.94485
53,Louis Armstrong,Basin Street Blues,electronic,113.309,194.84689
54,Deep Voices feat. Torsten Verlinden,Another Day,electronic,132.006,494.54975
55,Yelle,Les Femmes,hip-hop,117.011,255.55546
56,Madison Park,One Day,pop,120.046,196.98893
57,Sherie Rene Scott,Why,rock,121.58,165.82485
58,Premiums,All I Really Want,alternative,120.177,173.58322
59,Peter Brown,Lemonade,electronic,135.112,177.99791
60,Julio Iglesias Jr,Angel,electronic,150.071,252.13342
61,Reuen,Catch,alternative,134.651,218.43546
62,I Spy,Murder,alternative,126.473,132.70159
63,Bad Company,Rock Steady,folk,97.701,249.83465
64,Wealthy Beggar,Reminder,electronic,166.341,226.82077
65,Deadmau5,Try Again,rock,126.645,194.08934
66,Emotional Horizons feat. Stine Grove,Beautiful,hip-hop,137.968,479.45098
67,Loveroy,Dangerous,rock,119.213,212.71465
68,Ke Mo,The Door,rock,104.204,236.48608
69,3rd Force,Forever Yours,rock,148.085,239.41179
70,Blu Mar Ten,Believe Me,indie,87.005,401.13587
71,Poshout,For You,jazz,134.024,526.52363
72,Michael W. Smith,Grace,rock,85.057,247.27465
73,Zetan Spore,Rocket,alternative,142.036,475.68934
74,Jarvis Humy,Black Cat,pop,94.574,194.53342
75,UHM & Tony Flexx,Our House,pop,102.387,196.54485
76,Todd Bodine,The Path,electronic,84.159,51.722
77,Sonic Youth,Superstar,hip-hop,84.884,248.18893
78,Ayo,Only You,alternative,57.639,288.49587
79,Sunscreem,Exodus,electronic,130.201,232.4371
80,Brian Melo,Summertime,pop,173.771,224.13016
