Artist, Song, Genre, Tempo, Duration
Dance Nation,Sunshine,hip-hop,137.887,415.63383
Acid Reign,Broken English,electronic,174.298,183.24853
Aerosmith,Magic Touch,jazz,123.681,277.78567
Montt Mardi\xc3\xa9,Sometimes,electronic,108.159,266.37016
The Stains,Joyride,rock,193.206,159.34649
Sikth,Tupelo,alternative,110.466,457.16853
Marty Wilde,Bad Boy,hip-hop,129.397,141.68771
Sun Eats Hours,Loser,folk,171.25,139.10159
Quest Pistols,Mama, I'm Coming Home,134.057,187.24526
Mot\xc3\x6rhead,Heroes,pop,94.992,294.66077
Emanon,Get Down,electronic,109.302,47.04608
6CycleMind,Dream,hip-hop,133.826,209.47546
Torcuato Mariano,Lift Me Up,rock,106.012,303.67302
Oen Bearen,Solitude,electronic,131.991,456.4371
Jamaram,Wake Up Call,jazz,180.062,389.48526
Scott Krippayne,Mercy Seat,alternative,63.655,220.21179
a1,Make It Good,pop,97.523,217.46893
Roudoudou,Caravan,indie,137.022,204.66893
Mateo & Matos,Evolution,rock,127.015,474.30485
Wall Of Voodoo,Do It Again,hip-hop,112.39,199.96689
Jimi Hendrix,Hey Joe,rock,149.239,406.9873
Tilly & The Wall,Chandelier,pop,130.965,255.60771
Kenny Werner,Requiem,alternative,44.145,423.96689
Sleeping At Last,Ghosts,folk,33.809,244.74077
1910 Fruitgum Company,Simon Says,hip-hop,138.4,150.69995
Tramaine Hawkins,Set Me Free,hip-hop,37.332,338.49424
Der Mystik,America,folk,140.029,500.00934
Junia Walker,Summertime,pop,153.638,254.09261
New Monsoon,Sunrise,folk,82.559,52.50567
Lee Ryan,Real Love,electronic,127.975,449.33179
The Police,Every Breath You Take,alternative,121.954,277.18485
Espresso del Lago,Come On,folk,87.981,291.81342
Lenny Fontana feat. Annee,Addicted,indie,127.987,461.92281
THE FATBACK BAND,I Like Girls,rock,207.708,227.26485
Gravity Kills,Down,alternative,163.849,249.75628
The Cure,Mint Car,alternative,145.053,205.60934
Amplify,My Life,hip-hop,109.643,165.22404
Ray Brown Trio,Summertime,pop,110.75,429.71383
George Howard,Only Human,rock,168.022,292.49261
Sky Motion,Forgive Me,electronic,140.033,459.44118
Troule,Smile,jazz,109.557,280.58077
Tammy Wynette,Your Love,hip-hop,86.182,189.23057
Dirty Old Ann,Turn Me On,folk,125.003,454.73914
Tuesdays,Gone, Gone,153.155,82.85995
De La Ghetto,Gangsta,hip-hop,155.946,405.9424
Entomed,Crawl,hip-hop,155.363,330.10893
Pata Negra ,Mama, I'm Coming Home,125.965,184.11057
I Spy,Slow Down,rock,66.501,57.0771
The Foreign Exchange,I Wanna Know,pop,158.994,181.002
Betty Boo,Shame,alternative,123.001,301.00853
Sutton Foster,Flight,rock,74.372,250.90567
Lamda,Hold On Tight,rock,127.929,438.9873
The Daktaris,Upside Down,jazz,113.293,253.51791
The Clutters,Nothing,pop,153.83,172.66893
Five for Fighting,Love Song,pop,93.602,276.97587
Intonation,Open Your Heart,electronic,113.638,315.27138
John Lennon ,Yesterday,folk,157.114,149.41995
Mariano Yanani,Electrical Storm,electronic,96.034,194.35057
Jackie Trent,Guilty,alternative,91.107,150.96118
The Tymes,Promises,alternative,164.109,279.17016
Erin Boheme,Make You Happy,folk,92.878,266.08281
Seastien Leger,Listen,folk,129.083,402.72934
XIU XIU,Fast Car,pop,77.46,353.77587
Luz Verde,Barcelona,classical,131.984,252.47302
Ray Price,Crazy,alternative,66.36,170.34404
The Bolshoi,Sunday Morning,rock,148.79,393.7171
Springok Nude Girls,Beautiful Girl,rock,186.954,278.07302
Benjamin Zephaniah,Superstar,hip-hop,140.021,308.74077
Virtuoso,Romanssi,alternative,135.944,199.94077
As Cities Burn,Empire,alternative,213.659,207.17669
Malene Mortensen,Winter Wonderland,electronic,113.939,201.29914
Dar Williams,Arrival,classical,81.63,173.89669
Anggun,Breathing,folk,153.912,226.87302
Defari,Look Into My Eyes,hip-hop,93.86,233.11628
Biohazard,Salvation,alternative,161.85,236.09424
Agnostic Front,Warriors,jazz,168.671,127.73832
Stereophonics,Vegas Two Times,rock,149.121,234.37016
The Beta Band,Space,rock,159.867,239.28118
