Artist, Song, Genre, Tempo, Duration
Adelitas Way,Scream,hip-hop,99.944,213.9424
The Badloves,Slave,rock,89.813,324.93669
Gleave,Come With Me,hip-hop,135.025,477.3873
The Photos,Do You Wanna Dance,pop,108.652,139.49342
Bedlight For Blue Eyes,Without You,rock,182.917,165.38077
Motorass,Home,folk,120.849,433.24036
Alice Stuart,Kassie Jones,blues,110.382,220.78649
Smitty,Success,pop,82.561,248.0322
Old Man River,Summer,rock,118.43,165.40689
Hanna,The Race,electronic,120.056,359.18322
Gloria Gaynor,Perfect World,pop,85.326,304.37832
Antoine Clamaran,Get Down,electronic,128.004,441.88689
Scarlets Remains,Spin,rock,115.061,198.73914
Stevie Ray Vaughan,Crossfire,electronic,116.721,248.78975
In The Woods,Shelter,electronic,45.084,36.362
Wayne Wonder,All This Time,classical,181.556,227.70893
Imperanon,Sold,rock,210.102,221.98812
Grandmaster Flash,Gold,rock,105.442,260.91057
Rockin Reels,My Happiness,rock,101.25,110.23628
Juei ft. D-Bridge,Patience,pop,173.001,308.27057
Exec Bat,Restart,pop,124.012,514.06322
Max Cavalerra,Impact,electronic,125.988,434.78159
People In Planes,Barracuda,rock,206.273,231.02649
Lady Sovereign,Bang Bang,hip-hop,130.042,200.51546
Los Rieleros Del Norte,Usted,pop,78.122,185.86077
Thin Lizzy,The Rocker,rock,146.882,258.24608
Sounds Like Violence,The Greatest,pop,137.927,266.4224
Toy Lightman,One Day,pop,167.964,205.08689
DJ X-Change featuring DJ Joey A,Come Over,electronic,150.012,184.31955
Nate Dogg feat. Daz Dillinger,These Days,pop,160.234,303.35955
Mellow Mark,Movement,rock,99.983,220.31628
Miike Snow,Black & Blue,indie,127.963,378.30485
Mott The Hoople,American Pie,folk,77.003,86.54322
Cama,In This Life,electronic,155.074,210.36363
Lorena,Footloose,rock,90.017,211.93098
Foo Fighters,Hell,indie,152.127,117.002
The Wilde Flowers,Memories,electronic,88.644,95.18975
Heiko Voss,Telephone,electronic,85.3,161.98485
Pee Wee Ellis,Oh My God,hip-hop,102.992,304.90077
The Verve,Bitter Sweet Symphony,rock,85.46,360.25424
Suzanne Ciani,Mozart,electronic,139.189,192.20853
Jesse James,Change,alternative,125.046,235.83302
Dare,Runaway,folk,123.814,269.71383
Lisa Papineau,Diamonds and Pearls,rock,92.642,260.25751
Mathew Jonson,Stop,hip-hop,129.712,368.53506
2-4 Grooves feat. Reki D.,Relax,pop,126.941,203.83302
Dj Boss,Untitled,alternative,140.013,260.07465
Edvin Marton,Fireworks,indie,150.521,202.50077
Soular,Everything Changes,pop,146.577,244.45342
Lynch Mo,Rain,electronic,99.761,293.95546
Chris Brown,Forever,hip-hop,139.998,363.59791
Daniela Dess\xc3\xac,New Age,pop,140.334,330.65751
Shirley Horn,Do It Again,hip-hop,98.454,179.48689
Sheryl Crow,Wildflower,folk,81.674,236.30322
GP WU,Flawless,rock,101.605,288.28689
The Killers,Spaceman,alternative,151.953,284.3424
Kirk Whalum,You Are Everything,jazz,86.041,440.94649
Die Hunns,The Truth,hip-hop,187.41,133.38077
Gai,Rose, My Rocket-Brain!,122.97,144.14322
Oceanic,Insanity,electronic,130.011,415.05914
Gigolo Tony,Scream,hip-hop,134.201,205.87057
Orital,Illuminate,electronic,125.975,327.8624
Alert Cummings,Where Did I Go Wrong,pop,101.124,179.25179
Tantric,Walk Away,rock,106.698,177.24036
Atrium Carceri,Escape,pop,110.379,263.94077
Xcultures,Smile,jazz,107.177,38.3473
Placeo,English Summer Rain,rock,108.264,241.52771
Samantha Fox,The Power,electronic,90.696,231.8624
RUN-DMC,Hard Times,electronic,119.67,234.65751
Emotional Horizons feat. Stine Grove,Beautiful,hip-hop,137.906,411.37587
Lady May,The Boss,jazz,188.056,214.04689
Coleman Hawkins,Desafinado,pop,152.764,346.77506
Brick,Happy,electronic,104.248,263.6273
Kurt Nilsen,Come On,folk,99.094,238.62812
Emargo,Scream,hip-hop,135.869,435.93098
Oph\xc3\xa9lie Winter,Everlasting Love,rock,85.02,250.69669
Courn feat. Princess Superstar & Solid State,Sick, Sick,85.317,189.88363
Tupac,New York, New York,78.529,284.1073
Jaga Jazzist,Another Day,electronic,121.703,210.88608
Culture Kult\xc3\xcr,The Only One,alternative,132.985,413.54404
The Shirelles,Will You Love Me Tomorrow,rock,68.283,159.76444
The Jacksons,Rock With You,rock,121.211,237.76608
Tarkan,Bounce,electronic,99.982,224.23465
Ayla,Ayla,electronic,144.043,445.12608
DJ Peril,Sunday,alternative,159.949,299.54567
Akon ,Watch Out,electronic,121.976,224.67873
Sticky Fingaz,Oh My God,hip-hop,80.149,266.4224
Dame Joan Sutherland ,Joy To The World,pop,82.422,111.0722
P Money ft. Little Dee & Craig,Crazy,alternative,81.624,223.84281
A&M,Say What You Want,rock,127.991,324.44036
Cock Roin,Superhuman,hip-hop,85.006,290.79465
Cosmic Rough Riders,The Game,alternative,149.991,198.922
Dave Grusin,The Champ,hip-hop,198.34,208.19546
Vince Guaraldi Trio,The Christmas Song,rock,58.745,197.95546
The Red Clay Ramlers,Tarzan,jazz,99.506,184.42404
Candie Payne,One More Chance,rock,137.916,165.66812
Art Pepper,Imagination,electronic,85.037,356.46649
Nine Inch Nails,Capital G,rock,108.975,229.72036
Lakeside,Say Yes,pop,125.377,294.13832
Oasis,Morning Glory,rock,136.948,301.92281
Two Witches,Open Your Eyes,rock,120.072,212.45342
All Time Low,Shameless,folk,91.483,221.67465
Florian Meindl,Tears,electronic,126.983,433.44934
Violent Femmes,American Music,folk,140.998,239.93424
Deie Davies,Little Sister,rock,116.984,225.67138
Wire,Strange,country,103.101,237.21751
Duke Ellington,Caravan,indie,153.71,164.72771
Chris Rea,The Blue Cafe,rock,139.926,287.242
Kim Waters,Possession,pop,73.573,293.98159
Monk & Neagle,All I Need,pop,162.003,209.6322
Trim,Silent Night,alternative,92.017,205.03465
Amy Winehouse,Stronger Than Me,pop,91.198,256.10404
Annihilator,The Other Side,alternative,94.994,259.89179
Born To Lose,Salvation,alternative,151.423,212.92363
Saa,Melissa,blues,100.994,244.29669
Olivia Newton-John,When You Believe,pop,136.0,239.98649
Mooneam,Look Around,alternative,85.322,501.18485
The Mayflies USA,You And Me,rock,114.102,276.13995
Mustasch,Lonely,pop,152.005,200.41098
Gloria Gaynor,I Want To Know What Love Is,rock,178.012,241.97179
Kierra Sheard,Change,alternative,170.121,208.19546
B.A.D.,Interlude,rock,95.655,102.03383
Europe,Hero,jazz,78.669,266.65751
Circular,Mother,folk,75.127,59.89832
Gossip,Yr Mangled Heart,pop,118.36,251.01016
Bayface,Seven Seas,alternative,125.006,242.9122
The Wednesday Night Heroes,Self Destruct,electronic,147.251,97.2273
Paul Weller,Hung Up,indie,152.594,176.56118
Plain Jane Automoile,Blue Jeans,electronic,96.959,158.30159
Cosmic Psychos,Bad Day,rock,109.947,385.72363
Dancing Fantasy,Seasons,hip-hop,160.903,213.10649
Vickie Winans,Superman,rock,97.99,265.76934
Buddy Holly & The Crickets,Everyday,jazz,138.352,130.08934
Soul System,Heaven,electronic,89.239,257.51465
Danni Carlos,Losing My Religion,rock,126.053,261.35465
Crosy_ Stills & Nash,Long Time Gone,rock,106.212,257.01832
Sean Truy,Darkness,rock,93.329,431.98649
David Hudson,Arrival,classical,158.321,320.91383
Neil Norman,Twilight Zone,rock,110.398,124.44689
Findlay Brown,Come Home,rock,170.322,184.71138
Wilert Harrison,Kansas City,electronic,87.885,160.39138
Mint Royale,Show Me,hip-hop,107.982,244.11383
OutKast,Hey Ya!,hip-hop,105.964,238.49751
Chew Lips,Two Hands, One Mouth,108.02,153.70404
Ninos Con Bomas,Supernatural,electronic,162.118,262.21669
