Artist, Song, Genre, Tempo, Duration
Alice Stuart,Kassie Jones,blues,110.382,220.78649
Scarlets Remains,Spin,rock,115.061,198.73914
Stevie Ray Vaughan,Crossfire,electronic,116.721,248.78975
DJ X-Change featuring DJ Joey A,Come Over,electronic,150.012,184.31955
Cama,In This Life,electronic,155.074,210.36363
Foo Fighters,Hell,indie,152.127,117.002
Suzanne Ciani,Mozart,electronic,139.189,192.20853
2-4 Grooves feat. Reki D.,Relax,pop,126.941,203.83302
Soular,Everything Changes,pop,146.577,244.45342
Chris Brown,Forever,hip-hop,139.998,363.59791
Daniela Dess\xc3\xac,New Age,pop,140.334,330.65751
The Killers,Spaceman,alternative,151.953,284.3424
Orital,Illuminate,electronic,125.975,327.8624
Tantric,Walk Away,rock,106.698,177.24036
Xcultures,Smile,jazz,107.177,38.3473
Placeo,English Summer Rain,rock,108.264,241.52771
RUN-DMC,Hard Times,electronic,119.67,234.65751
Lady May,The Boss,jazz,188.056,214.04689
The Shirelles,Will You Love Me Tomorrow,rock,68.283,159.76444
Sticky Fingaz,Oh My God,hip-hop,80.149,266.4224
Dame Joan Sutherland ,Joy To The World,pop,82.422,111.0722
Oasis,Morning Glory,rock,136.948,301.92281
All Time Low,Shameless,folk,91.483,221.67465
Deie Davies,Little Sister,rock,116.984,225.67138
Amy Winehouse,Stronger Than Me,pop,91.198,256.10404
B.A.D.,Interlude,rock,95.655,102.03383
Circular,Mother,folk,75.127,59.89832
David Hudson,Arrival,classical,158.321,320.91383
Ayo,I Love You,electronic,128.022,229.25016
UKW,Allein,hip-hop,97.362,266.762
DJ Slugo,Whip It,electronic,150.056,199.20934
Hysterie,Imagination,electronic,130.032,389.642
Franz Ferdinand,Eleanor Put Your Boots On,rock,143.679,195.13424
Tanto Metro & Devonte,Sometimes,electronic,105.671,207.56853
Kelly Clarkson,My Life Would Suck Without You,rock,135.914,230.63465
Dave Eggar,Wave,folk,100.893,225.04444
The Nelons,Hallelujah,hip-hop,108.914,200.202
Dave Hollister,Tell Me Why,pop,118.052,305.34485
Angelo Badalamenti,Love Me,pop,67.405,168.51546
MN,The Truth,hip-hop,136.95,378.06975
Christina Aguilera,Walk Away,rock,152.214,347.84608
Ang\xc3\xa9lla Christie,Walk With Me,country,111.465,348.36853
Papa Wema,Maria,electronic,120.411,278.59546
Deorah Allen,I Will Always Love You,pop,67.904,189.57016
Snow Patrol,Chocolate,electronic,117.966,181.57669
Souls Of Mischief,Spark,jazz,96.287,220.96934
Alice In Chains,Brother,electronic,92.012,267.36281
The Creation,Hey Joe,rock,85.453,250.27873
Novaspace,Guardian Angel,electronic,185.97,231.54893
Far Too Jones,Use Me,pop,127.267,249.02485
Mando Diao,Misty Mountains,classical,152.041,144.03873
Bee Winans,Love Thing,rock,161.405,278.22975
CamRon ,Shake,electronic,115.139,208.92689
Dino,Untitled,alternative,103.807,406.38649
Pedro Aznar,Stand,rock,110.178,194.61179
Lenn Hammond,The Door,rock,154.356,216.47628
R. Kelly & Jay Z,Honey, This Mirror Isn't Big Enough for the Two of Us,95.464,242.15465
U2,New York, New York,125.088,343.27465
At All Cost,Drugs,alternative,100.331,443.68934
Frankie Randall,Winter Wonderland,electronic,100.0,215.77098
