ID, Artist, Song, Genre
3,Tom Waits,Somewhere,folk
7,Calvin Crabtree-Jeromeo Melo,Wishing for Tomorrow,hip-hop
8,Garth Brooks-Billy Dean-Faith Hill-Olivia Newton-John-Neal McCoy-Michael McDonald-Victoria Shaw-Bryan White,One Heart at a Time,country
9,Bryan White,Finally Home,country
14,Bebel Gilberto,Sem contenção: Remixes,jazz
15,Arturo Sandoval,Colors of the Wind,jazz
16,Anita Baker-James Ingram,When You Love Someone,jazz
18,Veronica Lake-Crayon,Crayon / Veronica Lake,indie
19,Crayon,The Snap-Tight Wars,indie
20,Cornershop,NME Peel Sessions Singles Club,indie
21,Constantines-Feist,Constantines Feist,indie
31,Sam Watts-Chelsea Watts,Run Down the Streets,indie
32,Chelsea Watts-Sam Watts,Believe Me,indie
33,Chelsea Watts-Sam Watts,Child,indie
34,Chelsea Watts,Love Trap,indie
42,Calexico,Spark / The Ride,indie
43,Built to Spill,Car / Girl,indie
45,Broken Social Scene,Stars & Sons / KC Accidental,indie
46,Broken Social Scene,Cause = Time,indie
61,Bibio,Sheila Sets Sail,indie
62,Bibio,Ambivalence Avenue / Fire Ant,indie
63,Tom Waits,Downtown Train,folk
64,Tom Waits,In the Neighborhood,folk
65,Tom Waits,16 Shells From a Thirty-Ought-Six,folk
66,Tom Waits,Goin' Out West,folk
67,Tom Waits,Heartattack and Vine,folk
68,Tom Waits,Hold On,folk
69,Tom Waits,Bad As Me,folk
71,Bebel Gilberto,Tanto tempo,jazz
72,Bebel Gilberto,Aganjú,jazz
73,Bebel Gilberto,All Around,jazz
74,Anita Baker,Lately,jazz
75,Cornershop,Wog,indie
76,Cornershop,Good Ships / Funky Days Are Back Again,indie
77,Cornershop,Brimful of Asha,indie
78,Cornershop,Sleep on the Left Side,indie
79,Cornershop,Candyman,indie
80,Cornershop,Sleep on the Left Side / Brimful of Asha,indie
81,Cornershop,Lessons Learned From Rocky I to Rocky III,indie
82,FiveAm-Chelsea Watts,Someday,indie
83,Duskid-Sam Watts-Chelsea Watts,Stuck With You,indie
84,Duskid-Sam Watts-Chelsea Watts,Stuck With You (Artful Dice remix),indie
85,Calexico,Service & Repair,indie
86,Calexico,Ballad of Cable Hogue,indie
87,Calexico,Crystal Frontier,indie
88,Calexico,Alone Again Or,indie
89,Calexico,Quattro (World Drifts In),indie
90,Calexico,Black Heart,indie
91,Calexico-Beirut,Guns of Brixton / Interior of a Dutch House,indie
92,Built to Spill,Joyride / Sick and Wrong,indie
93,Built to Spill,So and So So and So From Wherever Wherever / Terrible/Perfect,indie
94,Built to Spill,Car,indie
95,Built to Spill,Distopian Dream Girl,indie
96,Built to Spill,In the Morning,indie
97,Built to Spill-Marine Research,Built to Spill / Marine Research,indie
98,Built to Spill,Center of the Universe,indie
99,Broken Social Scene,Ibi Dreams of Pavement (A Better Day),indie
100,Broken Social Scene,7/4 (Shoreline),indie
101,Broken Social Scene,Fire Eye'd Boy / Canada vs. America,indie
102,Broken Social Scene-Kevin Drew,Tbtf,indie
103,Broken Social Scene-Kevin Drew,Backed Out On The...,indie
127,Bibio,Excuses,indie
128,Bibio-Clark,Willenhall / Baskerville Grinch,indie
129,Bibio,K Is for Kelson,indie
130,Bibio,T.O.Y.S.,indie
131,Bibio,À tout à l'heure,indie
132,Diana Ross,Ain't No Mountain High Enough,jazz
133,Cornershop,Staging,indie
134,Cornershop-Bubbley Kaur,Topknot / Natch,indie
135,Cornershop,Wop the Groove,indie
136,Built to Spill,They Got Away / Rearrange,indie
137,Built to Spill,Water Sleepers / Linus and Lucy,indie
138,Built to Spill,Ripple,indie
139,Broken Social Scene,Forced To Love,indie
159,Diana Ross-Marvin Gaye,You Are Everything,jazz
160,Diana Ross-Michael Jackson,Ease on Down the Road,jazz
161,Diana Ross,The Boss,jazz
162,Diana Ross,Upside Down,jazz
163,Diana Ross,I'm Coming Out,jazz
164,Diana Ross,It's My Turn,jazz
167,Gregory Porter,Real Good Hands,jazz
168,Gregory Porter,Musical Genocide,jazz
169,Disclosure-Gregory Porter,Holding On,jazz
170,Break Science-Gramatik,Boogie Down,jazz
171,Gramatik,Native Son,jazz
172,Gitane DeMone,A Heavenly Melancholy,jazz
175,George Winston,Christmas Time Is Here,jazz
176,George Winston,Silent Night – A Benefit Single for Feeding America,jazz
177,Gary Numan,Cars,jazz
183,Hugh Masekela,You Keep Me Hangin' On / Make Me a Potion,jazz
198,Bruce Hornsby,Gonna Be Some Changes Made,folk
199,Bruce Hornsby,Talk of the Town,folk
202,George Winston,Swinging Honeymoon,jazz
203,Gary Numan,Complex,jazz
204,Gary Numan,We Are Glass,jazz
205,Gary Numan,I Die: You Die,jazz
206,Gary Numan,This Wreckage,jazz
207,Gary Numan,She’s Got Claws,jazz
208,Gary Numan-Dramatis,Love Needs No Disguise,jazz
209,Gary Numan,Music for Chameleons,jazz
210,Tift Merritt,Another Country (Barnes & Noble Exclusive Bonus Disc),country
230,Hugh Masekela,Don't Go Lose It Baby,jazz
240,Gary Numan,We Take Mystery (To Bed),jazz
241,Gary Numan,White Boys and Heroes,jazz
242,Gary Numan,Warriors,jazz
243,Gary Numan,Sister Surprise,jazz
250,Gabriel Rios-Michael Franti-Flip Kowlier,What's This?,jazz
257,Nu:Tone-Natalie Williams,System / Second Connection,jazz
